funding_date,from_funder_name,to_project_name,amount,grant_pool_name,metadata
2024-09-01,optimism,,199500.0,grants_season_6,"{""application_name"": ""4337 Data & Standards Group"", ""application_url"": ""https://app.charmverse.io/op-grants/4337-data-standards-group-5830432563761476"", ""token_amount"": 150000.0, ""token_unit"": ""OP"", ""status"": ""Sent to locked Multisig"", ""initial_delivery_date"": null, ""op_delivered"": null, ""intent"": ""Intent 1"", ""l2_address"": ""0xE639CcCE1AB5479B6de7Ee559072379b5b2fc57c""}"
2024-09-01,optimism,,19950.0,grants_season_6,"{""application_name"": ""Analyzing DAO Failures - Voting Analysis"", ""application_url"": ""https://app.charmverse.io/op-grants/analyzing-dao-failures-voting-analysis-16194743814548462"", ""token_amount"": 15000.0, ""token_unit"": ""OP"", ""status"": ""Sent"", ""initial_delivery_date"": ""2025-09-01 0:00:00"", ""op_delivered"": 15000.0, ""intent"": ""Intent 1"", ""l2_address"": ""0xfad384709d78fdd8b3cb557a9943bfaab0a31391""}"
2024-09-01,optimism,etherfi,31920.0,grants_season_6,"{""application_name"": ""Ether.fi OP Mainnet LRT Grant"", ""application_url"": ""https://app.charmverse.io/op-grants/ether-fi-op-mainnet-lrt-grant-46198635300198077"", ""token_amount"": 24000.0, ""token_unit"": ""OP"", ""status"": ""Sent to locked Multisig"", ""initial_delivery_date"": null, ""op_delivered"": null, ""intent"": ""Intent 3A"", ""l2_address"": ""0x5c8c76f2e990f194462dc5f8a8c76ba16966ed42""}"
2024-09-01,optimism,etherfi,127680.0,grants_season_6,"{""application_name"": ""Ether.fi OP Mainnet LRT Grant"", ""application_url"": ""https://app.charmverse.io/op-grants/ether-fi-op-mainnet-lrt-grant-46198635300198077"", ""token_amount"": 96000.0, ""token_unit"": ""OP"", ""status"": ""Sent"", ""initial_delivery_date"": ""2024-09-01 0:00:00"", ""op_delivered"": 57600.0, ""intent"": ""Intent 3A"", ""l2_address"": ""0x5c8c76f2e990f194462dc5f8a8c76ba16966ed42""}"
2024-09-01,optimism,kelp-dao,159600.0,grants_season_6,"{""application_name"": ""Expanding restaking on Optimism"", ""application_url"": ""https://app.charmverse.io/op-grants/expanding-restaking-on-optimism-882168603000568"", ""token_amount"": 120000.0, ""token_unit"": ""OP"", ""status"": ""Sent"", ""initial_delivery_date"": ""2024-09-01 0:00:00"", ""op_delivered"": 120000.0, ""intent"": ""Intent 3A"", ""l2_address"": ""0x0c5527B3ABFBD0c297104b12bE6f288D335B299c""}"
2024-09-01,optimism,soldeer-mario-eth,53200.0,grants_season_6,"{""application_name"": ""Expansion of Soldeer"", ""application_url"": ""https://app.charmverse.io/op-grants/expansion-of-soldeer-530289534468612"", ""token_amount"": 40000.0, ""token_unit"": ""OP"", ""status"": ""Sent"", ""initial_delivery_date"": ""2025-10-01 0:00:00"", ""op_delivered"": 40000.0, ""intent"": ""Intent 3A"", ""l2_address"": ""0xc8E2806A97413b5496A1ba6050b517CC98D0EfCA""}"
2024-09-01,optimism,,19948.670000000002,grants_season_6,"{""application_name"": ""Farcaster Social Graph"", ""application_url"": ""https://app.charmverse.io/op-grants/farcaster-social-graph-13991200096869738"", ""token_amount"": 14999.0, ""token_unit"": ""OP"", ""status"": ""Sent"", ""initial_delivery_date"": ""2025-09-01 0:00:00"", ""op_delivered"": 14999.0, ""intent"": ""Intent 1"", ""l2_address"": ""0xa41214012d4462ecBB0724673897Ee0dCc0fDF49""}"
2024-09-01,optimism,,2660.0,grants_season_6,"{""application_name"": ""FrameHack #2"", ""application_url"": ""https://app.charmverse.io/op-grants/framehack-2-1877138093587576"", ""token_amount"": 2000.0, ""token_unit"": ""OP"", ""status"": ""Sent"", ""initial_delivery_date"": ""2024-09-01 0:00:00"", ""op_delivered"": 1200.0, ""intent"": ""Intent 3A"", ""l2_address"": ""0xe7910f8A4b7eFCf2964F017e34e4E2D9AA06EDc3""}"
2024-09-01,optimism,blockful-io,46550.0,grants_season_6,"{""application_name"": ""Governance Audit and Dashboard by Blockful"", ""application_url"": ""https://app.charmverse.io/op-grants/governance-audit-and-dashboard-by-blockful-22656444457292424"", ""token_amount"": 35000.0, ""token_unit"": ""OP"", ""status"": ""Sent"", ""initial_delivery_date"": ""2025-09-01 0:00:00"", ""op_delivered"": 35000.0, ""intent"": ""Intent 1"", ""l2_address"": ""0x000ee9A6Bcec9AadCc883bD52B2c9A75FB098991""}"
2024-09-01,optimism,walnuthq,43225.0,grants_season_6,"{""application_name"": ""Open-source Transaction Debugger and Simulator"", ""application_url"": ""https://app.charmverse.io/op-grants/open-source-transaction-debugger-and-simulator-4151002328908955"", ""token_amount"": 32500.0, ""token_unit"": ""OP"", ""status"": ""Sent to locked Multisig"", ""initial_delivery_date"": null, ""op_delivered"": null, ""intent"": ""Intent 3A"", ""l2_address"": ""0x368ac9Da9F793BaA41fA75cb2d75A7D6229cF35B""}"
