funding_date,from_funder_name,to_project_name,amount,grant_pool_name,metadata
2022-11-01,optimism,d-hedge,437500.0,grants_season_2,"{""application_name"": ""dHEDGE DAO"", ""application_url"": ""https://gov.optimism.io/t/review-gf-phase-1-proposal-dhedge-v2-revised/3321"", ""token_amount"": 350000.0, ""token_unit"": ""OP"", ""status"": ""Sent"", ""initial_delivery_date"": ""2022-10-21 0:00:00"", ""op_delivered"": 350000.0, ""intent"": null, ""l2_address"": ""0x352Fb838A3ae9b0ef2f0EBF24191AcAf4aB9EcEc""}"
2022-11-01,optimism,across,937500.0,grants_season_2,"{""application_name"": ""Across Protocol"", ""application_url"": ""https://gov.optimism.io/t/ready-gf-phase-1-proposal-across-protocol-updated-template/3401"", ""token_amount"": 750000.0, ""token_unit"": ""OP"", ""status"": ""Sent"", ""initial_delivery_date"": null, ""op_delivered"": 750000.0, ""intent"": null, ""l2_address"": ""0x787B66d5281D45126bf0e0f3C9aC682D1E119d6C""}"
2022-11-01,optimism,bankless-academy,41250.0,grants_season_2,"{""application_name"": ""Bankless Academy v2"", ""application_url"": ""https://gov.optimism.io/t/ready-gf-phase-1-proposal-bankless-academy-v2/3353"", ""token_amount"": 33000.0, ""token_unit"": ""OP"", ""status"": ""Sent"", ""initial_delivery_date"": ""2022-10-20 0:00:00"", ""op_delivered"": 33000.0, ""intent"": null, ""l2_address"": ""0xbFBceA2a72Bc2e62E967fA0c79458dD507708469""}"
2022-11-01,optimism,revert-finance,300000.0,grants_season_2,"{""application_name"": ""Revert Compoundor"", ""application_url"": ""https://gov.optimism.io/t/ready-gf-phase-1-revert-finance-compoundor/3242"", ""token_amount"": 240000.0, ""token_unit"": ""OP"", ""status"": ""Sent"", ""initial_delivery_date"": ""2022-10-19 0:00:00"", ""op_delivered"": 240000.0, ""intent"": null, ""l2_address"": ""0x8cadb20a4811f363dadb863a190708bed26245f8""}"
2022-11-01,optimism,kromatika-finance,375000.0,grants_season_2,"{""application_name"": ""Kromatika"", ""application_url"": ""https://gov.optimism.io/t/ready-gf-phase-1-proposal-cycle-6-kromatika/3306"", ""token_amount"": 300000.0, ""token_unit"": ""OP"", ""status"": ""Sent"", ""initial_delivery_date"": null, ""op_delivered"": 300000.0, ""intent"": null, ""l2_address"": ""0x05d235d8Ba95bfc457f9a11F64cf869f0f3f60F9""}"
2022-11-01,optimism,distractionboy-optichads,62500.0,grants_season_2,"{""application_name"": ""OptiChads"", ""application_url"": ""https://gov.optimism.io/t/ready-gf-phase-1-proposal-optichads-nft-project/3430"", ""token_amount"": 50000.0, ""token_unit"": ""OP"", ""status"": ""Sent"", ""initial_delivery_date"": ""2022-10-28 0:00:00"", ""op_delivered"": 50000.0, ""intent"": null, ""l2_address"": ""0x10850762bac0dc6660630c1effe188a7cbfddc88""}"
2022-11-01,optimism,interest-protocol,39705.0,grants_season_2,"{""application_name"": ""Interest Protocol 2"", ""application_url"": ""https://gov.optimism.io/t/review-gf-phase-1-interest-protocol-development-deployment-to-optimism/2951?u=gfxlabs"", ""token_amount"": 31764.0, ""token_unit"": ""OP"", ""status"": ""Sent"", ""initial_delivery_date"": null, ""op_delivered"": 31764.0, ""intent"": null, ""l2_address"": ""0xa6e8772af29b29B9202a073f8E36f447689BEef6""}"
2022-11-01,optimism,thales,375000.0,grants_season_2,"{""application_name"": ""Overtime Markets"", ""application_url"": ""https://gov.optimism.io/t/review-gf-phase-1-voting-cycle-7-overtime-markets/3579"", ""token_amount"": 300000.0, ""token_unit"": ""OP"", ""status"": ""Sent"", ""initial_delivery_date"": null, ""op_delivered"": 300000.0, ""intent"": null, ""l2_address"": ""0x489863b61C625a15C74FB4C21486baCb4A3937AB""}"
2022-11-01,optimism,sushi,630000.0,grants_season_2,"{""application_name"": ""Sushiswap"", ""application_url"": ""https://gov.optimism.io/t/ready-gf-phase-1-sushi-part-1/3301"", ""token_amount"": 504000.0, ""token_unit"": ""OP"", ""status"": ""Sent"", ""initial_delivery_date"": null, ""op_delivered"": 504000.0, ""intent"": null, ""l2_address"": ""0x1219Bfa3A499548507b4917E33F17439b67A2177""}"
2022-11-01,optimism,tarot-finance,675000.0,grants_season_2,"{""application_name"": ""Tarot"", ""application_url"": ""https://gov.optimism.io/t/review-gf-phase-1-voting-cycle-7-tarot/3567"", ""token_amount"": 540000.0, ""token_unit"": ""OP"", ""status"": ""Sent"", ""initial_delivery_date"": null, ""op_delivered"": 540000.0, ""intent"": null, ""l2_address"": ""0x63D5554b748598C191aB0cBd0E0e1C638FFEBEe6""}"
