funding_date,from_funder_name,to_project_name,amount,grant_pool_name,metadata
2025-04-05,optimism,createx,1025.25,retrofunding_s7_onchain_builders,"{""application_name"": ""CreateX"", ""application_url"": ""https://atlas.optimism.io/project/0x0008577196fa6ec286440b418e2f6305fc10e62ce759625d826be272ee6b45a3"", ""token_amount"": 1367.0, ""token_unit"": ""OP"", ""project_id"": ""0x0008577196fa6ec286440b418e2f6305fc10e62ce759625d826be272ee6b45a3""}"
2025-04-05,optimism,woonetwork,5789.055,retrofunding_s7_onchain_builders,"{""application_name"": ""WOOFi"", ""application_url"": ""https://atlas.optimism.io/project/0x000c2ce4773defb3010a58d3800d0ec9d432189c574ba26d3103f1db44a5af6d"", ""token_amount"": 7718.74, ""token_unit"": ""OP"", ""project_id"": ""0x000c2ce4773defb3010a58d3800d0ec9d432189c574ba26d3103f1db44a5af6d""}"
2025-04-05,optimism,exactly,432.3075,retrofunding_s7_onchain_builders,"{""application_name"": ""Exa App"", ""application_url"": ""https://atlas.optimism.io/project/0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9"", ""token_amount"": 576.41, ""token_unit"": ""OP"", ""project_id"": ""0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9""}"
2025-04-05,optimism,velodrome,50000.0025,retrofunding_s7_onchain_builders,"{""application_name"": ""Velodrome Finance"", ""application_url"": ""https://atlas.optimism.io/project/0x08df6e20a3cfabbaf8f34d4f4d048fe7da40447c24be0f3ad513db6f13c755dd"", ""token_amount"": 66666.67, ""token_unit"": ""OP"", ""project_id"": ""0x08df6e20a3cfabbaf8f34d4f4d048fe7da40447c24be0f3ad513db6f13c755dd""}"
2025-04-05,optimism,pods-media,4318.245,retrofunding_s7_onchain_builders,"{""application_name"": ""pods.media"", ""application_url"": ""https://atlas.optimism.io/project/0x098fca4a62159ddfc2c45dc2931a727d56f039b8f68e31222b927aaf2ce75b9e"", ""token_amount"": 5757.66, ""token_unit"": ""OP"", ""project_id"": ""0x098fca4a62159ddfc2c45dc2931a727d56f039b8f68e31222b927aaf2ce75b9e""}"
2025-04-05,optimism,unimon-alma-labs,5077.7175,retrofunding_s7_onchain_builders,"{""application_name"": ""Tokiemon"", ""application_url"": ""https://atlas.optimism.io/project/0x0b8acaf73a25ba1f64bf829f9678beb8b7edf825353ebea38085590d78d74d5d"", ""token_amount"": 6770.29, ""token_unit"": ""OP"", ""project_id"": ""0x0b8acaf73a25ba1f64bf829f9678beb8b7edf825353ebea38085590d78d74d5d""}"
2025-04-05,optimism,infecteddotfun,12473.64,retrofunding_s7_onchain_builders,"{""application_name"": ""Infected"", ""application_url"": ""https://atlas.optimism.io/project/0x0d72f0fd9ca1d475f2fc199ebe456f80212d24d02d9dbabca6137442e61c5f3f"", ""token_amount"": 16631.52, ""token_unit"": ""OP"", ""project_id"": ""0x0d72f0fd9ca1d475f2fc199ebe456f80212d24d02d9dbabca6137442e61c5f3f""}"
2025-04-05,optimism,mintclub-steemhunt,1204.2675,retrofunding_s7_onchain_builders,"{""application_name"": ""Mint Club"", ""application_url"": ""https://atlas.optimism.io/project/0x0ee3defac0e2a31b995bc073ac02a2140aaf01679e141eb8d1d80409f75f90ea"", ""token_amount"": 1605.69, ""token_unit"": ""OP"", ""project_id"": ""0x0ee3defac0e2a31b995bc073ac02a2140aaf01679e141eb8d1d80409f75f90ea""}"
2025-04-05,optimism,passportxyz,4619.28,retrofunding_s7_onchain_builders,"{""application_name"": ""Passport XYZ | Gitcoin Passport"", ""application_url"": ""https://atlas.optimism.io/project/0x120cdd8e43ae1efbafdf02eda876e1952c05a52870c8d5a8f56d9ec0f79f586d"", ""token_amount"": 6159.04, ""token_unit"": ""OP"", ""project_id"": ""0x120cdd8e43ae1efbafdf02eda876e1952c05a52870c8d5a8f56d9ec0f79f586d""}"
2025-04-05,optimism,hop-protocol,496.47,retrofunding_s7_onchain_builders,"{""application_name"": ""Hop Protocol"", ""application_url"": ""https://atlas.optimism.io/project/0x149bc5c396fd3dccac39c92164bb6b8bccc4d215321b58e241af07a76616e031"", ""token_amount"": 661.96, ""token_unit"": ""OP"", ""project_id"": ""0x149bc5c396fd3dccac39c92164bb6b8bccc4d215321b58e241af07a76616e031""}"
