,to_project_name,amount,funding_date,from_funder_name,grant_pool_name,metadata
39,blob-archiver-rs,132500.01309125274,2024-10-23,optimism,retrofunding5,"{""application_name"": ""blob-archiver-rs"", ""application_url"": ""https://round5.retrolist.app/project/project_id              0x6605b6f2cb8bad86dd1d82061b0fb7333a6b8d31b9f8...\nproject_name                                             blob-archiver-rs\nproject_display_name                                     blob-archiver-rs\nproject_category                                             OP Stack R&D\nrf5_rewards                                                  77941.184171\nto_project_name                                          blob-archiver-rs\namount                                                      132500.013091\nfunding_date                                                   2024-10-23\nfrom_funder_name                                                 optimism\ngrant_pool_name                                             retrofunding5\nName: 39, dtype: object"", ""token_amount"": 77941.18417132513, ""token_unit"": ""OP""}"
40,op-besu-optimism-java,160049.52076369137,2024-10-23,optimism,retrofunding5,"{""application_name"": ""op-besu"", ""application_url"": ""https://round5.retrolist.app/project/project_id              0x417e4e0fab598eee0958d618dfa22dc4ad60eaaa659b...\nproject_name                                                      op-besu\nproject_display_name                                              op-besu\nproject_category                                             OP Stack R&D\nrf5_rewards                                                   94146.77692\nto_project_name                                     op-besu-optimism-java\namount                                                      160049.520764\nfunding_date                                                   2024-10-23\nfrom_funder_name                                                 optimism\ngrant_pool_name                                             retrofunding5\nName: 40, dtype: object"", ""token_amount"": 94146.77691981845, ""token_unit"": ""OP""}"
41,fe-ethereum,118580.2105495121,2024-10-23,optimism,retrofunding5,"{""application_name"": ""Fe Language"", ""application_url"": ""https://round5.retrolist.app/project/project_id              0x59b05c5888d0f16bedd7fb467b1e823a76b591b7e9b5...\nproject_name                                                  Fe Language\nproject_display_name                                          Fe Language\nproject_category                              Ethereum Core Contributions\nrf5_rewards                                                  69753.065029\nto_project_name                                               fe-ethereum\namount                                                       118580.21055\nfunding_date                                                   2024-10-23\nfrom_funder_name                                                 optimism\ngrant_pool_name                                             retrofunding5\nName: 41, dtype: object"", ""token_amount"": 69753.06502912477, ""token_unit"": ""OP""}"
42,protocol-guild,379753.1242848125,2024-10-23,optimism,retrofunding5,"{""application_name"": ""Protocol Guild"", ""application_url"": ""https://round5.retrolist.app/project/project_id              0x3e6e0104e18f3c083a8209cbea0b2b36f51d38fd72e7...\nproject_name                                               Protocol Guild\nproject_display_name                                       Protocol Guild\nproject_category                              Ethereum Core Contributions\nrf5_rewards                                                 223384.190756\nto_project_name                                            protocol-guild\namount                                                      379753.124285\nfunding_date                                                   2024-10-23\nfrom_funder_name                                                 optimism\ngrant_pool_name                                             retrofunding5\nName: 42, dtype: object"", ""token_amount"": 223384.19075577206, ""token_unit"": ""OP""}"
43,,151391.1040666392,2024-10-23,optimism,retrofunding5,"{""application_name"": ""Derive (Formerly Lyra) OP Custom"", ""application_url"": ""https://round5.retrolist.app/project/project_id              0x2b5b44d0e98599b5c877792367dcd0ed8f8f849fb267...\nproject_name                             Derive (Formerly Lyra) OP Custom\nproject_display_name    Derive (Formerly Lyra) OP Custom Gas Limit Res...\nproject_category                                             OP Stack R&D\nrf5_rewards                                                  89053.590627\nto_project_name                                                       NaN\namount                                                      151391.104067\nfunding_date                                                   2024-10-23\nfrom_funder_name                                                 optimism\ngrant_pool_name                                             retrofunding5\nName: 43, dtype: object"", ""token_amount"": 89053.59062743482, ""token_unit"": ""OP""}"
44,understanding-optimism-codebase-joohhnnn,120934.43440998926,2024-10-23,optimism,retrofunding5,"{""application_name"": ""Understanding-Optimism-Codebase"", ""application_url"": ""https://round5.retrolist.app/project/project_id              0xdbb1c00bcb783a6d57f89e21708b28a2f46e68012eba...\nproject_name                              Understanding-Optimism-Codebase\nproject_display_name                      Understanding-Optimism-Codebase\nproject_category                                         OP Stack Tooling\nrf5_rewards                                                  71137.902594\nto_project_name                  understanding-optimism-codebase-joohhnnn\namount                                                       120934.43441\nfunding_date                                                   2024-10-23\nfrom_funder_name                                                 optimism\ngrant_pool_name                                             retrofunding5\nName: 44, dtype: object"", ""token_amount"": 71137.90259411134, ""token_unit"": ""OP""}"
45,nodeguardians,156296.52266234474,2024-10-23,optimism,retrofunding5,"{""application_name"": ""Node Guardians"", ""application_url"": ""https://round5.retrolist.app/project/project_id              0x6fc3b802b42153f99ca38a0a5b28f9d675b44aafa631...\nproject_name                                               Node Guardians\nproject_display_name                                       Node Guardians\nproject_category                                         OP Stack Tooling\nrf5_rewards                                                  91939.130978\nto_project_name                                             nodeguardians\namount                                                      156296.522662\nfunding_date                                                   2024-10-23\nfrom_funder_name                                                 optimism\ngrant_pool_name                                             retrofunding5\nName: 45, dtype: object"", ""token_amount"": 91939.13097784985, ""token_unit"": ""OP""}"
46,zenbiteth,106524.76300009624,2024-10-23,optimism,retrofunding5,"{""application_name"": ""OPcity stack"", ""application_url"": ""https://round5.retrolist.app/project/project_id              0x04d4b89e72e276bebc4bb4359145bc89e12f64a1edb1...\nproject_name                                                 OPcity stack\nproject_display_name                                         OPcity stack\nproject_category                                             OP Stack R&D\nrf5_rewards                                                  62661.625294\nto_project_name                                                 zenbiteth\namount                                                         106524.763\nfunding_date                                                   2024-10-23\nfrom_funder_name                                                 optimism\ngrant_pool_name                                             retrofunding5\nName: 46, dtype: object"", ""token_amount"": 62661.62529417426, ""token_unit"": ""OP""}"
47,optimism,206897.5218742788,2024-10-23,optimism,retrofunding5,"{""application_name"": ""TechNERDs Program"", ""application_url"": ""https://round5.retrolist.app/project/project_id              0x6e299c690e4ea63ec248ed245b97dd1a03bcf4d08a77...\nproject_name                                            TechNERDs Program\nproject_display_name                                    TechNERDs Program\nproject_category                                         OP Stack Tooling\nrf5_rewards                                                 121704.424632\nto_project_name                                                  optimism\namount                                                      206897.521874\nfunding_date                                                   2024-10-23\nfrom_funder_name                                                 optimism\ngrant_pool_name                                             retrofunding5\nName: 47, dtype: object"", ""token_amount"": 121704.42463192872, ""token_unit"": ""OP""}"
48,,136759.45732955172,2024-10-23,optimism,retrofunding5,"{""application_name"": ""Asphere Rollup-as-a-Service"", ""application_url"": ""https://round5.retrolist.app/project/project_id              0xcd76f92636f76d63419d461b6e79cfc76979b24598d1...\nproject_name                                  Asphere Rollup-as-a-Service\nproject_display_name                          Asphere Rollup-as-a-Service\nproject_category                                         OP Stack Tooling\nrf5_rewards                                                  80446.739606\nto_project_name                                                       NaN\namount                                                       136759.45733\nfunding_date                                                   2024-10-23\nfrom_funder_name                                                 optimism\ngrant_pool_name                                             retrofunding5\nName: 48, dtype: object"", ""token_amount"": 80446.73960561866, ""token_unit"": ""OP""}"
49,,141839.09431607788,2024-10-23,optimism,retrofunding5,"{""application_name"": ""Optimism Collective and OP Stack"", ""application_url"": ""https://round5.retrolist.app/project/project_id              0x596cd6262d7f32e44aa79e79ee75d60d191e28b5eab1...\nproject_name                             Optimism Collective and OP Stack\nproject_display_name    Optimism Collective and OP Stack Documentation...\nproject_category                                         OP Stack Tooling\nrf5_rewards                                                  83434.761362\nto_project_name                                                       NaN\namount                                                      141839.094316\nfunding_date                                                   2024-10-23\nfrom_funder_name                                                 optimism\ngrant_pool_name                                             retrofunding5\nName: 49, dtype: object"", ""token_amount"": 83434.76136239876, ""token_unit"": ""OP""}"
50,solidity-ethereum,348032.91796281806,2024-10-23,optimism,retrofunding5,"{""application_name"": ""Solidity"", ""application_url"": ""https://round5.retrolist.app/project/project_id              0xb70d28d9ff1d684d80f2c34512d914652c7e8af6bd8e...\nproject_name                                                     Solidity\nproject_display_name                                             Solidity\nproject_category                              Ethereum Core Contributions\nrf5_rewards                                                  204725.24586\nto_project_name                                         solidity-ethereum\namount                                                      348032.917963\nfunding_date                                                   2024-10-23\nfrom_funder_name                                                 optimism\ngrant_pool_name                                             retrofunding5\nName: 50, dtype: object"", ""token_amount"": 204725.24586048123, ""token_unit"": ""OP""}"
51,grandinetech,95753.52001873104,2024-10-23,optimism,retrofunding5,"{""application_name"": ""Grandine"", ""application_url"": ""https://round5.retrolist.app/project/project_id              0x4b61cd661477522b1243f51329dbaaef13edd3b43130...\nproject_name                                                     Grandine\nproject_display_name                                             Grandine\nproject_category                              Ethereum Core Contributions\nrf5_rewards                                                  56325.600011\nto_project_name                                              grandinetech\namount                                                       95753.520019\nfunding_date                                                   2024-10-23\nfrom_funder_name                                                 optimism\ngrant_pool_name                                             retrofunding5\nName: 51, dtype: object"", ""token_amount"": 56325.60001101826, ""token_unit"": ""OP""}"
52,,157425.758128221,2024-10-23,optimism,retrofunding5,"{""application_name"": ""Fault Proofs security research"", ""application_url"": ""https://round5.retrolist.app/project/project_id              0x54d4b15fc19bb1d56a611e650d54847ee6fbc24cc19e...\nproject_name                               Fault Proofs security research\nproject_display_name                       Fault Proofs security research\nproject_category                                             OP Stack R&D\nrf5_rewards                                                  92603.387134\nto_project_name                                                       NaN\namount                                                      157425.758128\nfunding_date                                                   2024-10-23\nfrom_funder_name                                                 optimism\ngrant_pool_name                                             retrofunding5\nName: 52, dtype: object"", ""token_amount"": 92603.38713424765, ""token_unit"": ""OP""}"
53,eth-infinitism-account-abstraction,277181.2421594845,2024-10-23,optimism,retrofunding5,"{""application_name"": ""Account Abstraction"", ""application_url"": ""https://round5.retrolist.app/project/project_id              0x5f8e06ced087848712b56730976a7a31f3fbd14a862a...\nproject_name                                          Account Abstraction\nproject_display_name                       Account Abstraction - ERC-4337\nproject_category                              Ethereum Core Contributions\nrf5_rewards                                                 163047.789506\nto_project_name                        eth-infinitism-account-abstraction\namount                                                      277181.242159\nfunding_date                                                   2024-10-23\nfrom_funder_name                                                 optimism\ngrant_pool_name                                             retrofunding5\nName: 53, dtype: object"", ""token_amount"": 163047.7895055791, ""token_unit"": ""OP""}"
54,kroma-network,129351.49792868832,2024-10-23,optimism,retrofunding5,"{""application_name"": ""Native Account Abstraction on OP"", ""application_url"": ""https://round5.retrolist.app/project/project_id              0x5a41dd6db9348adfcd8bb0bb0a391a44ac7797094183...\nproject_name                             Native Account Abstraction on OP\nproject_display_name               Native Account Abstraction on OP Stack\nproject_category                                             OP Stack R&D\nrf5_rewards                                                  76089.116429\nto_project_name                                             kroma-network\namount                                                      129351.497929\nfunding_date                                                   2024-10-23\nfrom_funder_name                                                 optimism\ngrant_pool_name                                             retrofunding5\nName: 54, dtype: object"", ""token_amount"": 76089.11642864019, ""token_unit"": ""OP""}"
55,kroma-network,165821.79856172617,2024-10-23,optimism,retrofunding5,"{""application_name"": ""Permissionless ZK Fault Proof"", ""application_url"": ""https://round5.retrolist.app/project/project_id              0x29689510e5add50d929566fcbb78a8f85fac28545928...\nproject_name                                Permissionless ZK Fault Proof\nproject_display_name                 Permissionless ZK Fault Proof System\nproject_category                                             OP Stack R&D\nrf5_rewards                                                  97542.234448\nto_project_name                                             kroma-network\namount                                                      165821.798562\nfunding_date                                                   2024-10-23\nfrom_funder_name                                                 optimism\ngrant_pool_name                                             retrofunding5\nName: 55, dtype: object"", ""token_amount"": 97542.23444807422, ""token_unit"": ""OP""}"
56,erigontech,237160.4210990242,2024-10-23,optimism,retrofunding5,"{""application_name"": ""Erigon"", ""application_url"": ""https://round5.retrolist.app/project/project_id              0x8687895d7e9295384b77eea6a3ec763a9b7ac88cc566...\nproject_name                                                       Erigon\nproject_display_name                                               Erigon\nproject_category                              Ethereum Core Contributions\nrf5_rewards                                                 139506.130058\nto_project_name                                                erigontech\namount                                                      237160.421099\nfunding_date                                                   2024-10-23\nfrom_funder_name                                                 optimism\ngrant_pool_name                                             retrofunding5\nName: 56, dtype: object"", ""token_amount"": 139506.13005824955, ""token_unit"": ""OP""}"
57,quic-go,93678.36633411457,2024-10-23,optimism,retrofunding5,"{""application_name"": ""quic-go"", ""application_url"": ""https://round5.retrolist.app/project/project_id              0xe65a2684781bdc49edc859a49d1e3f692a0f58fabcd8...\nproject_name                                                      quic-go\nproject_display_name                                              quic-go\nproject_category                              Ethereum Core Contributions\nrf5_rewards                                                  55104.921373\nto_project_name                                                   quic-go\namount                                                       93678.366334\nfunding_date                                                   2024-10-23\nfrom_funder_name                                                 optimism\ngrant_pool_name                                             retrofunding5\nName: 57, dtype: object"", ""token_amount"": 55104.921373008576, ""token_unit"": ""OP""}"
58,succinctlabs,209901.010837628,2024-10-23,optimism,retrofunding5,"{""application_name"": ""OP Succinct"", ""application_url"": ""https://round5.retrolist.app/project/project_id              0xd33479c5420a69c1ce3c8ba955593a63dcd454feeac4...\nproject_name                                                  OP Succinct\nproject_display_name    OP Succinct: Full ZK Validity Proving of OP St...\nproject_category                                             OP Stack R&D\nrf5_rewards                                                 123471.182846\nto_project_name                                              succinctlabs\namount                                                      209901.010838\nfunding_date                                                   2024-10-23\nfrom_funder_name                                                 optimism\ngrant_pool_name                                             retrofunding5\nName: 58, dtype: object"", ""token_amount"": 123471.18284566354, ""token_unit"": ""OP""}"
59,ethereum-miscellania,119173.11160225967,2024-10-23,optimism,retrofunding5,"{""application_name"": ""Act"", ""application_url"": ""https://round5.retrolist.app/project/project_id              0xe8819060824137f5b433d8afa05360173be11509f533...\nproject_name                                                          Act\nproject_display_name                                                  Act\nproject_category                              Ethereum Core Contributions\nrf5_rewards                                                  70101.830354\nto_project_name                                      ethereum-miscellania\namount                                                      119173.111602\nfunding_date                                                   2024-10-23\nfrom_funder_name                                                 optimism\ngrant_pool_name                                             retrofunding5\nName: 59, dtype: object"", ""token_amount"": 70101.8303542704, ""token_unit"": ""OP""}"
60,go-ethereum,398725.9579727343,2024-10-23,optimism,retrofunding5,"{""application_name"": ""go-ethereum"", ""application_url"": ""https://round5.retrolist.app/project/project_id              0x4b4627904b97d79cf68f11637d19d05bdb1bc2499e2c...\nproject_name                                                  go-ethereum\nproject_display_name                                          go-ethereum\nproject_category                              Ethereum Core Contributions\nrf5_rewards                                                  234544.68116\nto_project_name                                               go-ethereum\namount                                                      398725.957973\nfunding_date                                                   2024-10-23\nfrom_funder_name                                                 optimism\ngrant_pool_name                                             retrofunding5\nName: 60, dtype: object"", ""token_amount"": 234544.68116043194, ""token_unit"": ""OP""}"
61,alt-research,146723.36064927615,2024-10-23,optimism,retrofunding5,"{""application_name"": ""RaaS and Restaking for OP Stack"", ""application_url"": ""https://round5.retrolist.app/project/project_id              0xac859a911407aa694e23d1616d9ce086d3d53b907891...\nproject_name                              RaaS and Restaking for OP Stack\nproject_display_name              RaaS and Restaking for OP Stack rollups\nproject_category                                         OP Stack Tooling\nrf5_rewards                                                  86307.859205\nto_project_name                                              alt-research\namount                                                      146723.360649\nfunding_date                                                   2024-10-23\nfrom_funder_name                                                 optimism\ngrant_pool_name                                             retrofunding5\nName: 61, dtype: object"", ""token_amount"": 86307.85920545655, ""token_unit"": ""OP""}"
62,lighthouse-sigp,237160.42109902418,2024-10-23,optimism,retrofunding5,"{""application_name"": ""Lighthouse"", ""application_url"": ""https://round5.retrolist.app/project/project_id              0x0b0732b7b9d8521f68d5b19a99bd6a62d0b66d8035e2...\nproject_name                                                   Lighthouse\nproject_display_name                                           Lighthouse\nproject_category                              Ethereum Core Contributions\nrf5_rewards                                                 139506.130058\nto_project_name                                           lighthouse-sigp\namount                                                      237160.421099\nfunding_date                                                   2024-10-23\nfrom_funder_name                                                 optimism\ngrant_pool_name                                             retrofunding5\nName: 62, dtype: object"", ""token_amount"": 139506.13005824952, ""token_unit"": ""OP""}"
63,libp2p,158897.48213634625,2024-10-23,optimism,retrofunding5,"{""application_name"": ""Rust Libp2p"", ""application_url"": ""https://round5.retrolist.app/project/project_id              0x056236fa3b7b2517f22e884bf78e048e6a29f58f882d...\nproject_name                                                  Rust Libp2p\nproject_display_name                                          Rust Libp2p\nproject_category                              Ethereum Core Contributions\nrf5_rewards                                                  93469.107139\nto_project_name                                                    libp2p\namount                                                      158897.482136\nfunding_date                                                   2024-10-23\nfrom_funder_name                                                 optimism\ngrant_pool_name                                             retrofunding5\nName: 63, dtype: object"", ""token_amount"": 93469.10713902721, ""token_unit"": ""OP""}"
64,,170544.5713055728,2024-10-23,optimism,retrofunding5,"{""application_name"": ""Fault Dispute Game Audit Contest"", ""application_url"": ""https://round5.retrolist.app/project/project_id              0x37df31043d401a09c24ba1066e602ff34c2906ac9239...\nproject_name                             Fault Dispute Game Audit Contest\nproject_display_name                     Fault Dispute Game Audit Contest\nproject_category                                             OP Stack R&D\nrf5_rewards                                                 100320.336062\nto_project_name                                                       NaN\namount                                                      170544.571306\nfunding_date                                                   2024-10-23\nfrom_funder_name                                                 optimism\ngrant_pool_name                                             retrofunding5\nName: 64, dtype: object"", ""token_amount"": 100320.33606210166, ""token_unit"": ""OP""}"
65,eoa-blockchain-labs,141703.351606667,2024-10-23,optimism,retrofunding5,"{""application_name"": ""Ethereum on ARM"", ""application_url"": ""https://round5.retrolist.app/project/project_id              0xefe90dc598c4aa16089ecd6f57fa5270388d42f36e1c...\nproject_name                                              Ethereum on ARM\nproject_display_name                                      Ethereum on ARM\nproject_category                              Ethereum Core Contributions\nrf5_rewards                                                   83354.91271\nto_project_name                                       eoa-blockchain-labs\namount                                                      141703.351607\nfunding_date                                                   2024-10-23\nfrom_funder_name                                                 optimism\ngrant_pool_name                                             retrofunding5\nName: 65, dtype: object"", ""token_amount"": 83354.91270980412, ""token_unit"": ""OP""}"
66,vyperlang,205736.66530340345,2024-10-23,optimism,retrofunding5,"{""application_name"": ""Vyper"", ""application_url"": ""https://round5.retrolist.app/project/project_id              0x15ad7707cbebf66f201e96a81fb821bd0afab6a6e93d...\nproject_name                                                        Vyper\nproject_display_name                                                Vyper\nproject_category                              Ethereum Core Contributions\nrf5_rewards                                                 121021.567826\nto_project_name                                                 vyperlang\namount                                                      205736.665303\nfunding_date                                                   2024-10-23\nfrom_funder_name                                                 optimism\ngrant_pool_name                                             retrofunding5\nName: 66, dtype: object"", ""token_amount"": 121021.56782553144, ""token_unit"": ""OP""}"
67,get-smooth,88935.15791213405,2024-10-23,optimism,retrofunding5,"{""application_name"": ""Smoo.th Cryptolib"", ""application_url"": ""https://round5.retrolist.app/project/project_id              0xe69b6f216d79523341253eb2cfec0ff615d0d272723e...\nproject_name                                            Smoo.th Cryptolib\nproject_display_name                                    Smoo.th Cryptolib\nproject_category                              Ethereum Core Contributions\nrf5_rewards                                                  52314.798772\nto_project_name                                                get-smooth\namount                                                       88935.157912\nfunding_date                                                   2024-10-23\nfrom_funder_name                                                 optimism\ngrant_pool_name                                             retrofunding5\nName: 67, dtype: object"", ""token_amount"": 52314.79877184356, ""token_unit"": ""OP""}"
68,nimbus-status-im,180241.92003525843,2024-10-23,optimism,retrofunding5,"{""application_name"": ""Nimbus"", ""application_url"": ""https://round5.retrolist.app/project/project_id              0x11c3d1437e8ac8ee38b29886eeb14061c06e372a5d5a...\nproject_name                                                       Nimbus\nproject_display_name                                               Nimbus\nproject_category                              Ethereum Core Contributions\nrf5_rewards                                                 106024.658844\nto_project_name                                          nimbus-status-im\namount                                                      180241.920035\nfunding_date                                                   2024-10-23\nfrom_funder_name                                                 optimism\ngrant_pool_name                                             retrofunding5\nName: 68, dtype: object"", ""token_amount"": 106024.65884426967, ""token_unit"": ""OP""}"
69,sherlock-protocol,119118.82365035395,2024-10-23,optimism,retrofunding5,"{""application_name"": ""Sherlock"", ""application_url"": ""https://round5.retrolist.app/project/project_id              0xc8a03780dc632e8fad9356662e52723f5e6cff9ba457...\nproject_name                                                     Sherlock\nproject_display_name                                             Sherlock\nproject_category                                             OP Stack R&D\nrf5_rewards                                                  70069.896265\nto_project_name                                         sherlock-protocol\namount                                                       119118.82365\nfunding_date                                                   2024-10-23\nfrom_funder_name                                                 optimism\ngrant_pool_name                                             retrofunding5\nName: 69, dtype: object"", ""token_amount"": 70069.89626491409, ""token_unit"": ""OP""}"
70,ethereum-attestation-service,224856.45785980896,2024-10-23,optimism,retrofunding5,"{""application_name"": ""Ethereum Attestation Service"", ""application_url"": ""https://round5.retrolist.app/project/project_id              0x907ab6a3f6b6e724797e52051ac04eb23025462f8d06...\nproject_name                                 Ethereum Attestation Service\nproject_display_name                   Ethereum Attestation Service (EAS)\nproject_category                                             OP Stack R&D\nrf5_rewards                                                 132268.504623\nto_project_name                              ethereum-attestation-service\namount                                                       224856.45786\nfunding_date                                                   2024-10-23\nfrom_funder_name                                                 optimism\ngrant_pool_name                                             retrofunding5\nName: 70, dtype: object"", ""token_amount"": 132268.50462341704, ""token_unit"": ""OP""}"
71,roll-op-0xfableorg,203576.22076770407,2024-10-23,optimism,retrofunding5,"{""application_name"": ""roll-op"", ""application_url"": ""https://round5.retrolist.app/project/project_id              0x62855986b48353248f0feaea9e4afceb298505ec0cc1...\nproject_name                                                      roll-op\nproject_display_name                                              roll-op\nproject_category                                         OP Stack Tooling\nrf5_rewards                                                 119750.718099\nto_project_name                                        roll-op-0xfableorg\namount                                                      203576.220768\nfunding_date                                                   2024-10-23\nfrom_funder_name                                                 optimism\ngrant_pool_name                                             retrofunding5\nName: 71, dtype: object"", ""token_amount"": 119750.71809864945, ""token_unit"": ""OP""}"
72,,114429.90318027919,2024-10-23,optimism,retrofunding5,"{""application_name"": ""Blocknative Blob Archive and"", ""application_url"": ""https://round5.retrolist.app/project/project_id              0x42f449a7238b2d19785a41371e6902a0e782bbf28270...\nproject_name                                 Blocknative Blob Archive and\nproject_display_name                Blocknative Blob Archive and Research\nproject_category                              Ethereum Core Contributions\nrf5_rewards                                                  67311.707753\nto_project_name                                                       NaN\namount                                                       114429.90318\nfunding_date                                                   2024-10-23\nfrom_funder_name                                                 optimism\ngrant_pool_name                                             retrofunding5\nName: 72, dtype: object"", ""token_amount"": 67311.70775310541, ""token_unit"": ""OP""}"
73,op-stack-deployer-aymen-tirchi,126209.44204984346,2024-10-23,optimism,retrofunding5,"{""application_name"": ""OP STACK DEPLOYER"", ""application_url"": ""https://round5.retrolist.app/project/project_id              0x5960585d5dd67b7778d390be4b8fce7da98d5f056efd...\nproject_name                                            OP STACK DEPLOYER\nproject_display_name                                    OP STACK DEPLOYER\nproject_category                                         OP Stack Tooling\nrf5_rewards                                                  74240.848265\nto_project_name                            op-stack-deployer-aymen-tirchi\namount                                                       126209.44205\nfunding_date                                                   2024-10-23\nfrom_funder_name                                                 optimism\ngrant_pool_name                                             retrofunding5\nName: 73, dtype: object"", ""token_amount"": 74240.8482646138, ""token_unit"": ""OP""}"
74,hildr-optimism-java,160836.64955433249,2024-10-23,optimism,retrofunding5,"{""application_name"": ""hildr"", ""application_url"": ""https://round5.retrolist.app/project/project_id              0x3fe005facaaa824b2fd2190be9a1fa124577580dbcdf...\nproject_name                                                        hildr\nproject_display_name                                                hildr\nproject_category                                             OP Stack R&D\nrf5_rewards                                                  94609.793855\nto_project_name                                       hildr-optimism-java\namount                                                      160836.649554\nfunding_date                                                   2024-10-23\nfrom_funder_name                                                 optimism\ngrant_pool_name                                             retrofunding5\nName: 74, dtype: object"", ""token_amount"": 94609.7938554897, ""token_unit"": ""OP""}"
75,lodestar-chainsafe,174016.45898140903,2024-10-23,optimism,retrofunding5,"{""application_name"": ""Lodestar"", ""application_url"": ""https://round5.retrolist.app/project/project_id              0x716ad2474c6acff63481ec2283e01a2c4bef79250a1e...\nproject_name                                                     Lodestar\nproject_display_name                                             Lodestar\nproject_category                              Ethereum Core Contributions\nrf5_rewards                                                  102362.62293\nto_project_name                                        lodestar-chainsafe\namount                                                      174016.458981\nfunding_date                                                   2024-10-23\nfrom_funder_name                                                 optimism\ngrant_pool_name                                             retrofunding5\nName: 75, dtype: object"", ""token_amount"": 102362.62293024061, ""token_unit"": ""OP""}"
76,ethereum-pos-testnet-rzmahmood,88935.15791213406,2024-10-23,optimism,retrofunding5,"{""application_name"": ""Ethereum POS Testnet"", ""application_url"": ""https://round5.retrolist.app/project/project_id              0x74988422f40235f42bf41a73ed227cf78277c7c92ee0...\nproject_name                                         Ethereum POS Testnet\nproject_display_name                                 Ethereum POS Testnet\nproject_category                              Ethereum Core Contributions\nrf5_rewards                                                  52314.798772\nto_project_name                            ethereum-pos-testnet-rzmahmood\namount                                                       88935.157912\nfunding_date                                                   2024-10-23\nfrom_funder_name                                                 optimism\ngrant_pool_name                                             retrofunding5\nName: 76, dtype: object"", ""token_amount"": 52314.79877184357, ""token_unit"": ""OP""}"
77,builderism-rabbitprincess,151607.6269824744,2024-10-23,optimism,retrofunding5,"{""application_name"": ""Builderism"", ""application_url"": ""https://round5.retrolist.app/project/project_id              0xa555f2cc261179e744f961525e3c506a0a53cc02389c...\nproject_name                                                   Builderism\nproject_display_name                                           Builderism\nproject_category                                         OP Stack Tooling\nrf5_rewards                                                  89180.957049\nto_project_name                                 builderism-rabbitprincess\namount                                                      151607.626982\nfunding_date                                                   2024-10-23\nfrom_funder_name                                                 optimism\ngrant_pool_name                                             retrofunding5\nName: 77, dtype: object"", ""token_amount"": 89180.95704851436, ""token_unit"": ""OP""}"
78,solady-vectorized,161623.77834497363,2024-10-23,optimism,retrofunding5,"{""application_name"": ""Solady"", ""application_url"": ""https://round5.retrolist.app/project/project_id              0xd42d5fa61ac3f9488e7b5c5fd24709d9d2b130750a9e...\nproject_name                                                       Solady\nproject_display_name                                               Solady\nproject_category                                             OP Stack R&D\nrf5_rewards                                                  95072.810791\nto_project_name                                         solady-vectorized\namount                                                      161623.778345\nfunding_date                                                   2024-10-23\nfrom_funder_name                                                 optimism\ngrant_pool_name                                             retrofunding5\nName: 78, dtype: object"", ""token_amount"": 95072.81079116095, ""token_unit"": ""OP""}"
