,to_project_name,amount,funding_date,from_funder_name,grant_pool_name,metadata
10,testinprod-io,220396.06137950945,2024-10-23,optimism,retrofunding5,"{""application_name"": ""OP Erigon"", ""application_url"": ""https://round5.retrolist.app/project/project_id              0xfc00945848ac2ee9a42c64242e90d612cd16435b4608...\nproject_name                                                    OP Erigon\nproject_display_name                                            OP Erigon\nproject_category                                             OP Stack R&D\nrf5_rewards                                                 129644.741988\nto_project_name                                             testinprod-io\namount                                                       220396.06138\nfunding_date                                                   2024-10-23\nfrom_funder_name                                                 optimism\ngrant_pool_name                                             retrofunding5\nName: 10, dtype: object"", ""token_amount"": 129644.74198794673, ""token_unit"": ""OP""}"
11,optimism,224594.0815962619,2024-10-23,optimism,retrofunding5,"{""application_name"": ""Asterisc"", ""application_url"": ""https://round5.retrolist.app/project/project_id              0x6190ca70e5196f582a65d1f73236eff346b72cd922df...\nproject_name                                                     Asterisc\nproject_display_name                                             Asterisc\nproject_category                                             OP Stack R&D\nrf5_rewards                                                 132114.165645\nto_project_name                                                  optimism\namount                                                      224594.081596\nfunding_date                                                   2024-10-23\nfrom_funder_name                                                 optimism\ngrant_pool_name                                             retrofunding5\nName: 11, dtype: object"", ""token_amount"": 132114.16564485995, ""token_unit"": ""OP""}"
12,testinprod-io,222232.6952243386,2024-10-23,optimism,retrofunding5,"{""application_name"": ""Delta Network Upgrade"", ""application_url"": ""https://round5.retrolist.app/project/project_id              0x41275977def21cc80eaddabfc98c04cf02df9c92c918...\nproject_name                                        Delta Network Upgrade\nproject_display_name                                Delta Network Upgrade\nproject_category                                             OP Stack R&D\nrf5_rewards                                                 130725.114838\nto_project_name                                             testinprod-io\namount                                                      222232.695224\nfunding_date                                                   2024-10-23\nfrom_funder_name                                                 optimism\ngrant_pool_name                                             retrofunding5\nName: 12, dtype: object"", ""token_amount"": 130725.11483784622, ""token_unit"": ""OP""}"
13,,106262.38673654919,2024-10-23,optimism,retrofunding5,"{""application_name"": ""Immunefi Bug Bounty Platform"", ""application_url"": ""https://round5.retrolist.app/project/project_id              0xd890d5c2369e84688d196a6181ddfde1f1fc9d2d3f4e...\nproject_name                                 Immunefi Bug Bounty Platform\nproject_display_name                         Immunefi Bug Bounty Platform\nproject_category                                             OP Stack R&D\nrf5_rewards                                                  62507.286316\nto_project_name                                                       NaN\namount                                                      106262.386737\nfunding_date                                                   2024-10-23\nfrom_funder_name                                                 optimism\ngrant_pool_name                                             retrofunding5\nName: 13, dtype: object"", ""token_amount"": 62507.28631561717, ""token_unit"": ""OP""}"
14,hermes-probe-lab,98125.12422972127,2024-10-23,optimism,retrofunding5,"{""application_name"": ""Hermes"", ""application_url"": ""https://round5.retrolist.app/project/project_id              0x19c6b7b2fd40036f3a778cf3c3998ad1ecb19dc285ce...\nproject_name                                                       Hermes\nproject_display_name    Hermes - a GossipSub listener and tracer for l...\nproject_category                              Ethereum Core Contributions\nrf5_rewards                                                  57720.661312\nto_project_name                                          hermes-probe-lab\namount                                                        98125.12423\nfunding_date                                                   2024-10-23\nfrom_funder_name                                                 optimism\ngrant_pool_name                                             retrofunding5\nName: 14, dtype: object"", ""token_amount"": 57720.66131160075, ""token_unit"": ""OP""}"
15,libp2p,129845.3305517158,2024-10-23,optimism,retrofunding5,"{""application_name"": ""js-libp2p"", ""application_url"": ""https://round5.retrolist.app/project/project_id              0x26745e0179576c46f9e9c310d24f2a44091c4c96a96e...\nproject_name                                                    js-libp2p\nproject_display_name                                            js-libp2p\nproject_category                              Ethereum Core Contributions\nrf5_rewards                                                  76379.606207\nto_project_name                                                    libp2p\namount                                                      129845.330552\nfunding_date                                                   2024-10-23\nfrom_funder_name                                                 optimism\ngrant_pool_name                                             retrofunding5\nName: 15, dtype: object"", ""token_amount"": 76379.60620689165, ""token_unit"": ""OP""}"
16,libp2p,245584.18268002477,2024-10-23,optimism,retrofunding5,"{""application_name"": ""go-libp2p"", ""application_url"": ""https://round5.retrolist.app/project/project_id              0xb0acb1a252cdb3b2a7dfadc8c5925da71f005082ec04...\nproject_name                                                    go-libp2p\nproject_display_name                                            go-libp2p\nproject_category                                             OP Stack R&D\nrf5_rewards                                                 144461.283929\nto_project_name                                                    libp2p\namount                                                       245584.18268\nfunding_date                                                   2024-10-23\nfrom_funder_name                                                 optimism\ngrant_pool_name                                             retrofunding5\nName: 16, dtype: object"", ""token_amount"": 144461.28392942634, ""token_unit"": ""OP""}"
17,libp2p,118580.2105495121,2024-10-23,optimism,retrofunding5,"{""application_name"": ""jvm-libp2p"", ""application_url"": ""https://round5.retrolist.app/project/project_id              0xb79e4919dfe7b72d966ad36ff7aa4619204a47d7e281...\nproject_name                                                   jvm-libp2p\nproject_display_name                                           jvm-libp2p\nproject_category                              Ethereum Core Contributions\nrf5_rewards                                                  69753.065029\nto_project_name                                                    libp2p\namount                                                       118580.21055\nfunding_date                                                   2024-10-23\nfrom_funder_name                                                 optimism\ngrant_pool_name                                             retrofunding5\nName: 17, dtype: object"", ""token_amount"": 69753.06502912477, ""token_unit"": ""OP""}"
18,,183401.0082193775,2024-10-23,optimism,retrofunding5,"{""application_name"": ""Code4rena"", ""application_url"": ""https://round5.retrolist.app/project/project_id              0xbbea5a9a59dc71358d4a4e687630a8a461efc17e5605...\nproject_name                                                    Code4rena\nproject_display_name                                            Code4rena\nproject_category                                             OP Stack R&D\nrf5_rewards                                                 107882.946011\nto_project_name                                                       NaN\namount                                                      183401.008219\nfunding_date                                                   2024-10-23\nfrom_funder_name                                                 optimism\ngrant_pool_name                                             retrofunding5\nName: 18, dtype: object"", ""token_amount"": 107882.94601139853, ""token_unit"": ""OP""}"
19,,295400.42783183156,2024-10-23,optimism,retrofunding5,"{""application_name"": ""Conduit OP Stack Contributions"", ""application_url"": ""https://round5.retrolist.app/project/project_id              0x8ce52931f5528de3a378ae58d1281083744b62b47dff...\nproject_name                               Conduit OP Stack Contributions\nproject_display_name                       Conduit OP Stack Contributions\nproject_category                                         OP Stack Tooling\nrf5_rewards                                                 173764.957548\nto_project_name                                                       NaN\namount                                                      295400.427832\nfunding_date                                                   2024-10-23\nfrom_funder_name                                                 optimism\ngrant_pool_name                                             retrofunding5\nName: 19, dtype: object"", ""token_amount"": 173764.9575481362, ""token_unit"": ""OP""}"
20,nethermindeth,239329.0503267153,2024-10-23,optimism,retrofunding5,"{""application_name"": ""Sedge"", ""application_url"": ""https://round5.retrolist.app/project/project_id              0x38f4b51e1d89c1efce3c71fd155fa253d7fffe73cd23...\nproject_name                                                        Sedge\nproject_display_name                                                Sedge\nproject_category                                         OP Stack Tooling\nrf5_rewards                                                  140781.79431\nto_project_name                                             nethermindeth\namount                                                      239329.050327\nfunding_date                                                   2024-10-23\nfrom_funder_name                                                 optimism\ngrant_pool_name                                             retrofunding5\nName: 20, dtype: object"", ""token_amount"": 140781.79430983253, ""token_unit"": ""OP""}"
21,revm-bluealloy,224116.59793857788,2024-10-23,optimism,retrofunding5,"{""application_name"": ""Revm"", ""application_url"": ""https://round5.retrolist.app/project/project_id              0x8d73a6f4342f92358b4a46e90336ce2e858d844fc78d...\nproject_name                                                         Revm\nproject_display_name                                                 Revm\nproject_category                              Ethereum Core Contributions\nrf5_rewards                                                 131833.292905\nto_project_name                                            revm-bluealloy\namount                                                      224116.597939\nfunding_date                                                   2024-10-23\nfrom_funder_name                                                 optimism\ngrant_pool_name                                             retrofunding5\nName: 21, dtype: object"", ""token_amount"": 131833.29290504582, ""token_unit"": ""OP""}"
