to_project_name,amount,funding_date,from_funder_name,grant_pool_name,metadata
extra-finance,182000.0,2023-09-01,optimism,grants_season_4,"{""application_name"": ""Extra Finance - Growth"", ""application_url"": ""https://app.charmverse.io/op-grants/proposals?id=7d410c5a-9eff-45fb-ad66-38097ff47695"", ""token_amount"": 104000.0, ""token_unit"": ""OP""}"
gashawk-corpus-io,70000.0,2023-09-01,optimism,grants_season_4,"{""application_name"": ""http://gashawk.io/"", ""application_url"": ""https://app.charmverse.io/op-grants/page-39236545934980094"", ""token_amount"": 40000.0, ""token_unit"": ""OP""}"
grindery-io,17500.0,2023-09-01,optimism,grants_season_4,"{""application_name"": ""Grindery Delight"", ""application_url"": ""https://app.charmverse.io/op-grants/page-564118893844912"", ""token_amount"": 10000.0, ""token_unit"": ""OP""}"
growthepie,61250.0,2023-09-01,optimism,grants_season_4,"{""application_name"": ""growthepie OP Stack Metrics, Blockspace & Developer\u2019s Resources"", ""application_url"": ""https://app.charmverse.io/op-grants/page-39058541725517215"", ""token_amount"": 35000.0, ""token_unit"": ""OP""}"
hai-on-op,175000.0,2023-09-01,optimism,grants_season_4,"{""application_name"": ""Let's Get HAI: a multi-collateral fork of RAI "", ""application_url"": ""https://app.charmverse.io/op-grants/page-5989100035328812"", ""token_amount"": 100000.0, ""token_unit"": ""OP""}"
hamster-shared,70000.0,2023-09-01,optimism,grants_season_4,"{""application_name"": ""Hamster"", ""application_url"": ""https://app.charmverse.io/op-grants/page-6041417980868986"", ""token_amount"": 40000.0, ""token_unit"": ""OP""}"
hildr-optimism-java,43750.0,2023-09-01,optimism,grants_season_4,"{""application_name"": ""Hildr: Optimism-java stack"", ""application_url"": ""https://app.charmverse.io/op-grants/proposals?id=e5613e76-a26f-41e4-9f0d-4e2dbfccf5b8"", ""token_amount"": 25000.0, ""token_unit"": ""OP""}"
idle-finance,262500.0,2023-09-01,optimism,grants_season_4,"{""application_name"": ""Idle x Optimism"", ""application_url"": ""https://app.charmverse.io/op-grants/page-5487372006410718"", ""token_amount"": 150000.0, ""token_unit"": ""OP""}"
infinitywallet,52500.0,2023-09-01,optimism,grants_season_4,"{""application_name"": ""Infinity Wallet - Builder Cycle 15"", ""application_url"": ""https://app.charmverse.io/op-grants/page-11908812258760593"", ""token_amount"": 30000.0, ""token_unit"": ""OP""}"
kwenta,367500.0,2023-09-01,optimism,grants_season_4,"{""application_name"": ""Kwenta Referral Program"", ""application_url"": ""https://app.charmverse.io/op-grants/page-5311906072594612"", ""token_amount"": 210000.0, ""token_unit"": ""OP""}"
layerswap,253750.0,2023-09-01,optimism,grants_season_4,"{""application_name"": ""Layerswap: Onboarding to Optimism from everywhere"", ""application_url"": ""https://app.charmverse.io/op-grants/proposals?id=82cbcf7d-397c-472a-b576-f09089311919"", ""token_amount"": 145000.0, ""token_unit"": ""OP""}"
lemonatio,140000.0,2023-09-01,optimism,grants_season_4,"{""application_name"": ""Lemon Cash Grant Proposal"", ""application_url"": ""https://app.charmverse.io/op-grants/page-0751418438700624"", ""token_amount"": 80000.0, ""token_unit"": ""OP""}"
liquid-resilience-digoppgroup,35000.0,2023-09-01,optimism,grants_season_4,"{""application_name"": ""Liquid Resilience"", ""application_url"": ""https://app.charmverse.io/op-grants/page-32348106058763193"", ""token_amount"": 20000.0, ""token_unit"": ""OP""}"
liquity,262500.0,2023-09-01,optimism,grants_season_4,"{""application_name"": ""Liquity Protocol"", ""application_url"": ""https://app.charmverse.io/op-grants/page-4220122436183489"", ""token_amount"": 150000.0, ""token_unit"": ""OP""}"
llamanodes,175000.0,2023-09-01,optimism,grants_season_4,"{""application_name"": ""LlamaNodes | High-Performant & Cost-Effective RPCs"", ""application_url"": ""https://app.charmverse.io/op-grants/page-0012423812683026725"", ""token_amount"": 100000.0, ""token_unit"": ""OP""}"
locksmithwallet,87500.0,2023-09-01,optimism,grants_season_4,"{""application_name"": ""Locksmith Wallet & Smart Contracts"", ""application_url"": ""https://app.charmverse.io/op-grants/page-8035332025592417"", ""token_amount"": 50000.0, ""token_unit"": ""OP""}"
lyra-finance,367500.0,2023-09-01,optimism,grants_season_4,"{""application_name"": ""LYRA V2"", ""application_url"": ""https://app.charmverse.io/op-grants/page-8973550421901375"", ""token_amount"": 210000.0, ""token_unit"": ""OP""}"
membranefi,77875.0,2023-09-01,optimism,grants_season_4,"{""application_name"": ""EUROe \u2013 A MiCA-compliant euro stablecoin"", ""application_url"": ""https://app.charmverse.io/op-grants/page-6388174495761412"", ""token_amount"": 44500.0, ""token_unit"": ""OP""}"
metagame-metafam,67900.0,2023-09-01,optimism,grants_season_4,"{""application_name"": ""Meta Game: Onboard & prepare builders that will help to create new socioeconomic systems. "", ""application_url"": ""https://app.charmverse.io/op-grants/page-27013511701775395"", ""token_amount"": 38800.0, ""token_unit"": ""OP""}"
metagov,35000.0,2023-09-01,optimism,grants_season_4,"{""application_name"": ""Metagov"", ""application_url"": ""https://app.charmverse.io/op-grants/page-19870254990933112"", ""token_amount"": 20000.0, ""token_unit"": ""OP""}"
metagov,65625.0,2023-09-01,optimism,grants_season_4,"{""application_name"": ""DAOstar: DAO Onboarding & Attestation List"", ""application_url"": ""https://app.charmverse.io/op-grants/proposals?id=fa615667-86b8-4ce1-a406-6ee2ff7c6d10"", ""token_amount"": 37500.0, ""token_unit"": ""OP""}"
