funding_date,from_funder_name,to_project_name,amount,grant_pool_name,metadata
2024-04-01,optimism,,105528.0,grants_season_5,"{""application_name"": ""Doxa: The Governance Game"", ""application_url"": ""https://app.charmverse.io/op-grants/page-4085199193924518"", ""token_amount"": 35176.0, ""token_unit"": ""OP"", ""status"": ""Sent"", ""initial_delivery_date"": ""2024-04-01 0:00:00"", ""op_delivered"": 14070.0, ""intent"": ""Intent 3"", ""l2_address"": ""0x627B01aA037B19483297fd69b219e790D3598249""}"
2024-04-01,optimism,,15000.0,grants_season_5,"{""application_name"": ""Burrito In NFT NYC"", ""application_url"": ""https://app.charmverse.io/op-grants/page-49337110542685325"", ""token_amount"": 5000.0, ""token_unit"": ""OP"", ""status"": ""Sent"", ""initial_delivery_date"": ""2025-05-01 0:00:00"", ""op_delivered"": 5000.0, ""intent"": ""Intent 3"", ""l2_address"": ""0x3B80663503DAE28100CB3aADD46f0DD88AECc0dC""}"
2024-04-01,optimism,,150000.0,grants_season_5,"{""application_name"": ""Community builder: IRL Age of Empires Governance Platform"", ""application_url"": ""https://app.charmverse.io/op-grants/community-builder-irl-age-of-empires-governance-platform-5307843531819139"", ""token_amount"": 50000.0, ""token_unit"": ""OP"", ""status"": ""Sent"", ""initial_delivery_date"": ""2025-05-01 0:00:00"", ""op_delivered"": 50000.0, ""intent"": ""Intent 2"", ""l2_address"": ""0x365659242D26c4BE14378056f2D55EbC0F7C90ee""}"
2024-04-01,optimism,,195000.0,grants_season_5,"{""application_name"": ""Decentralized rollup-as-a-service - WakeUp Labs "", ""application_url"": ""https://app.charmverse.io/op-grants/page-3054181115871304"", ""token_amount"": 65000.0, ""token_unit"": ""OP"", ""status"": ""Sent"", ""initial_delivery_date"": ""2025-05-01 0:00:00"", ""op_delivered"": 65000.0, ""intent"": ""Intent 1"", ""l2_address"": ""0xAABA37Fb284667647D315B9D45C1830598B24081""}"
2024-04-01,optimism,giveth,54000.0,grants_season_5,"{""application_name"": ""Decentralized Vouching via Attestations"", ""application_url"": ""https://app.charmverse.io/op-grants/page-12691590758764404"", ""token_amount"": 18000.0, ""token_unit"": ""OP"", ""status"": ""Sent"", ""initial_delivery_date"": ""2025-05-01 0:00:00"", ""op_delivered"": 18000.0, ""intent"": ""Intent 4"", ""l2_address"": ""0x634977e11C823a436e587C1a1Eca959588C64287""}"
2024-04-01,optimism,,3000.0,grants_season_5,"{""application_name"": ""DelegateKit - A complete Farcaster DAO toolkit"", ""application_url"": ""https://app.charmverse.io/op-grants/delegatekit-a-complete-farcaster-dao-toolkit-5127535289761294"", ""token_amount"": 1000.0, ""token_unit"": ""OP"", ""status"": ""Sent"", ""initial_delivery_date"": ""2024-04-01 0:00:00"", ""op_delivered"": 400.0, ""intent"": ""Intent 3"", ""l2_address"": ""0xec1C77AC05915F099C7c56900D63823Fa4308800""}"
2024-04-01,optimism,gitcoin,150000.0,grants_season_5,"{""application_name"": ""EasyRetroPGF.xyz"", ""application_url"": ""https://app.charmverse.io/op-grants/easyretropgf-xyz-16908203122976806"", ""token_amount"": 50000.0, ""token_unit"": ""OP"", ""status"": ""Sent"", ""initial_delivery_date"": ""2025-05-01 0:00:00"", ""op_delivered"": 50000.0, ""intent"": ""Intent 2"", ""l2_address"": ""0x00De4B13153673BCAE2616b67bf822500d325Fc3""}"
2024-04-01,optimism,,15000.0,grants_season_5,"{""application_name"": ""Edge City"", ""application_url"": ""https://app.charmverse.io/op-grants/page-752387536271468"", ""token_amount"": 5000.0, ""token_unit"": ""OP"", ""status"": ""Sent"", ""initial_delivery_date"": ""2025-05-01 0:00:00"", ""op_delivered"": 5000.0, ""intent"": ""Intent 3"", ""l2_address"": ""0x2660F4F0154784eB5606E253C854A28048A819cd""}"
2024-04-01,optimism,radicalxchange,102000.0,grants_season_5,"{""application_name"": ""Enhancing Decision-Making with Quadratic Voting on Optimism"", ""application_url"": ""https://app.charmverse.io/op-grants/page-6372885922099296"", ""token_amount"": 34000.0, ""token_unit"": ""OP"", ""status"": ""Sent"", ""initial_delivery_date"": ""2025-05-01 0:00:00"", ""op_delivered"": 34000.0, ""intent"": ""Intent 2"", ""l2_address"": ""0x0c587DEDc43FCf39DA2199C6650c6990C221F7Ba""}"
2024-04-01,optimism,,60000.0,grants_season_5,"{""application_name"": ""ERC-7265 Security Tooling"", ""application_url"": ""https://app.charmverse.io/op-grants/page-13415614066687764"", ""token_amount"": 20000.0, ""token_unit"": ""OP"", ""status"": ""Sent"", ""initial_delivery_date"": ""2025-05-01 0:00:00"", ""op_delivered"": 20000.0, ""intent"": ""Intent 2"", ""l2_address"": ""0xD478230AC12b747d9796222B8Ac9989ABEDf5B00""}"
2024-04-01,optimism,,150000.0,grants_season_5,"{""application_name"": ""ERC-7412 Tooling + Education"", ""application_url"": ""https://app.charmverse.io/op-grants/page-7805364576656899"", ""token_amount"": 50000.0, ""token_unit"": ""OP"", ""status"": ""Sent"", ""initial_delivery_date"": ""2025-05-01 0:00:00"", ""op_delivered"": 50000.0, ""intent"": ""Intent 2"", ""l2_address"": ""noahlitvin.eth""}"
2024-04-01,optimism,,150000.0,grants_season_5,"{""application_name"": ""Gearbox Protocol "", ""application_url"": ""https://app.charmverse.io/op-grants/gearbox-protocol-22211914786751796"", ""token_amount"": 50000.0, ""token_unit"": ""OP"", ""status"": ""Sent"", ""initial_delivery_date"": ""2024-05-01 0:00:00"", ""op_delivered"": 20000.0, ""intent"": ""Intent 2"", ""l2_address"": ""0x1ACc5BC353f23B901801f3Ba48e1E51a14263808""}"
2024-04-01,optimism,,15000.0,grants_season_5,"{""application_name"": ""grants supertracker"", ""application_url"": ""https://app.charmverse.io/op-grants/grants-supertracker-8486580772559915"", ""token_amount"": 5000.0, ""token_unit"": ""OP"", ""status"": ""Sent"", ""initial_delivery_date"": ""2025-05-01 0:00:00"", ""op_delivered"": 5000.0, ""intent"": ""Intent 4"", ""l2_address"": ""0xCFDc043cd3A3b2A86e4FE2b5E74ff3369b26F628""}"
2024-04-01,optimism,hypercerts,90000.0,grants_season_5,"{""application_name"": ""Impact Visualization Platform"", ""application_url"": ""https://app.charmverse.io/op-grants/impact-visualization-platform-08252204623500092"", ""token_amount"": 30000.0, ""token_unit"": ""OP"", ""status"": ""Sent"", ""initial_delivery_date"": ""2025-05-01 0:00:00"", ""op_delivered"": 30000.0, ""intent"": ""Intent 4"", ""l2_address"": ""0x62101902aA08D00B1D3d2e66CD77e2A4F4D18c51""}"
2024-04-01,optimism,show-karma,135000.0,grants_season_5,"{""application_name"": ""Karma GAP - RetroPGF Project Discovery and impact evaluation"", ""application_url"": ""https://app.charmverse.io/op-grants/karma-gap-retropgf-project-discovery-and-impact-evaluation-008175679206510633"", ""token_amount"": 45000.0, ""token_unit"": ""OP"", ""status"": ""Sent"", ""initial_delivery_date"": ""2025-05-01 0:00:00"", ""op_delivered"": 45000.0, ""intent"": ""Intent 2"", ""l2_address"": ""0xC98786D5A7a03C1e74AffCb97fF7eF8a710DA09B""}"
