to_project_name,amount,funding_date,from_funder_name,grant_pool_name,metadata
,62820.0,2025-04-25,octant-golemfoundation,epoch_7,"{""application_name"": ""Blue Energy Reef Restoration"", ""application_url"": ""https://octant.app/project/7/0x583A371055ff45AbEdF81d37Cc93E4de695D1364"", ""token_amount"": 35.191, ""token_unit"": ""ETH""}"
,61080.0,2025-04-25,octant-golemfoundation,epoch_7,"{""application_name"": ""Blue Filter"", ""application_url"": ""https://octant.app/project/7/0xE764871449A814bD2740AF1110c11424fa08f80b"", ""token_amount"": 34.209, ""token_unit"": ""ETH""}"
,59020.0,2025-04-25,octant-golemfoundation,epoch_7,"{""application_name"": ""Atlantis"", ""application_url"": ""https://octant.app/project/7/0x1ed622CE9E1f4d0954BD7efAa368491d6F99076D"", ""token_amount"": 33.039, ""token_unit"": ""ETH""}"
gainforest,51680.0,2025-04-25,octant-golemfoundation,epoch_7,"{""application_name"": ""GainForest"", ""application_url"": ""https://octant.app/project/7/0x98D3F6EBf58b0258ce8ccbE35D53D0162c3A316C"", ""token_amount"": 28.95, ""token_unit"": ""ETH""}"
opencollective,43280.0,2025-04-25,octant-golemfoundation,epoch_7,"{""application_name"": ""Open Collective"", ""application_url"": ""https://octant.app/project/7/0xae8c53e5f4375b114b669716B0B5FFC4f56F78d4"", ""token_amount"": 24.241, ""token_unit"": ""ETH""}"
astralprotocol,36620.0,2025-04-25,octant-golemfoundation,epoch_7,"{""application_name"": ""Astral Protocol"", ""application_url"": ""https://octant.app/project/7/0x6c9770edc75b4D1e1F49d7ce7a65541CA67602bD"", ""token_amount"": 20.504, ""token_unit"": ""ETH""}"
,35500.0,2025-04-25,octant-golemfoundation,epoch_7,"{""application_name"": ""Ecovillage Network GEN Ukraine"", ""application_url"": ""https://octant.app/project/7/0x1e82Fc2E6001AFA6e16c670618d870dF58627Ea2"", ""token_amount"": 19.874, ""token_unit"": ""ETH""}"
silviprotocol,22800.0,2025-04-25,octant-golemfoundation,epoch_7,"{""application_name"": ""Silvi"", ""application_url"": ""https://octant.app/project/7/0xC0Bee043C2acCE20eF40CaDa187a50103506BBFF"", ""token_amount"": 12.762, ""token_unit"": ""ETH""}"
,20560.0,2025-04-25,octant-golemfoundation,epoch_7,"{""application_name"": ""Bees & Trees"", ""application_url"": ""https://octant.app/project/7/0xdb2fD57afc6b7Ca3FDE0730A8B888657Be3aBc5e"", ""token_amount"": 11.511, ""token_unit"": ""ETH""}"
bloomnetwork,18050.0,2025-04-25,octant-golemfoundation,epoch_7,"{""application_name"": ""Bloom Network"", ""application_url"": ""https://octant.app/project/7/0x5219ffb88175588510e9752A1ecaA3cd217ca783"", ""token_amount"": 10.101, ""token_unit"": ""ETH""}"
,15900.0,2025-04-25,octant-golemfoundation,epoch_7,"{""application_name"": ""DeFood: Decentralized Food Security Network"", ""application_url"": ""https://octant.app/project/7/0xcB8e3B47f22b2F090650ba64907dcB60A00eed97"", ""token_amount"": 8.899, ""token_unit"": ""ETH""}"
,14300.0,2025-04-25,octant-golemfoundation,epoch_7,"{""application_name"": ""Rifai Sicilia"", ""application_url"": ""https://octant.app/project/7/0x228C7E64F107d4c468E0f744FDd73DEc2bf6DF51"", ""token_amount"": 8.012, ""token_unit"": ""ETH""}"
,12700.0,2025-04-25,octant-golemfoundation,epoch_7,"{""application_name"": ""Seabrick"", ""application_url"": ""https://octant.app/project/7/0xa9461Bf1617C20D1A3F53655fA84a4e906b5e4a2"", ""token_amount"": 7.107, ""token_unit"": ""ETH""}"
,12200.0,2025-04-25,octant-golemfoundation,epoch_7,"{""application_name"": ""Biodiversity & Carbon Open Protocol"", ""application_url"": ""https://octant.app/project/7/0x3d2A2C1bDC30043a97216d35E72D5e725AE08F66"", ""token_amount"": 6.831, ""token_unit"": ""ETH""}"
ekonavi,12080.0,2025-04-25,octant-golemfoundation,epoch_7,"{""application_name"": ""Ekonavi"", ""application_url"": ""https://octant.app/project/7/0x16eFF2A933AEa62C6B166BD187f7b705628A7f1e"", ""token_amount"": 6.765, ""token_unit"": ""ETH""}"
m3tering,11970.0,2025-04-25,octant-golemfoundation,epoch_7,"{""application_name"": ""M3tering Protocol"", ""application_url"": ""https://octant.app/project/7/0x532deE3Cf8d61D4E2a24b02005CA1Ca114D3f108"", ""token_amount"": 6.705, ""token_unit"": ""ETH""}"
,11950.0,2025-04-25,octant-golemfoundation,epoch_7,"{""application_name"": ""eSusFarm"", ""application_url"": ""https://octant.app/project/7/0xd0dd395c1c397b73cd9889B0091994E1BE54ACBB"", ""token_amount"": 6.694, ""token_unit"": ""ETH""}"
,10850.0,2025-04-25,octant-golemfoundation,epoch_7,"{""application_name"": ""Territorial Regeneration in Barichara, Colombia"", ""application_url"": ""https://octant.app/project/7/0xFd9F8A0f4bdEaC72F08AF1c708023cC31dD2E3BE"", ""token_amount"": 6.073, ""token_unit"": ""ETH""}"
,10790.0,2025-04-25,octant-golemfoundation,epoch_7,"{""application_name"": ""Oceanus"", ""application_url"": ""https://octant.app/project/7/0x5A0474B3B923b31A0bceD6aa1C852B58Fd4C7da8"", ""token_amount"": 6.04, ""token_unit"": ""ETH""}"
,9210.0,2025-04-25,octant-golemfoundation,epoch_7,"{""application_name"": ""Change Code"", ""application_url"": ""https://octant.app/project/7/0x831F4ED6c49557318f06Bfb7Bce8488090cd9eCC"", ""token_amount"": 5.159, ""token_unit"": ""ETH""}"
