to_project_name,amount,funding_date,from_funder_name,grant_pool_name,metadata
1hive,4822.92357,2024-07-30,octant-golemfoundation,epoch_4,"{""application_name"": ""Gardens"", ""application_url"": ""https://octant.app/project/4/0x809C9f8dd8CA93A41c3adca4972Fa234C28F7714"", ""token_amount"": 1.471, ""token_unit"": ""ETH""}"
abundanceprotocol,2059.00476,2024-07-30,octant-golemfoundation,epoch_4,"{""application_name"": ""Abundance Protocol"", ""application_url"": ""https://octant.app/project/4/0xc6FD734790E83820e311211B6d9A682BCa4ac97b"", ""token_amount"": 0.628, ""token_unit"": ""ETH""}"
blockscout,1291.79598,2024-07-30,octant-golemfoundation,epoch_4,"{""application_name"": ""Blockscout"", ""application_url"": ""https://octant.app/project/4/0x242ba6d68FfEb4a098B591B32d370F973FF882B7"", ""token_amount"": 0.394, ""token_unit"": ""ETH""}"
buidlguidl,16809.74109,2024-07-30,octant-golemfoundation,epoch_4,"{""application_name"": ""🏰 BuidlGuidl"", ""application_url"": ""https://octant.app/project/4/0x00080706a7D99CBC163D52dcF435205B1aD940D1"", ""token_amount"": 5.127, ""token_unit"": ""ETH""}"
dao-drops-dorgtech,5314.72407,2024-07-30,octant-golemfoundation,epoch_4,"{""application_name"": ""DAO Drops"", ""application_url"": ""https://octant.app/project/4/0x1c01595f9534E33d411035AE99a4317faeC4f6Fe"", ""token_amount"": 1.621, ""token_unit"": ""ETH""}"
dappnode,13091.72931,2024-07-30,octant-golemfoundation,epoch_4,"{""application_name"": ""Dappnode"", ""application_url"": ""https://octant.app/project/4/0x53390590476dC98860316e4B46Bb9842AF55efc4"", ""token_amount"": 3.993, ""token_unit"": ""ETH""}"
desci-latam,1632.77766,2024-07-30,octant-golemfoundation,epoch_4,"{""application_name"": ""DeSci LATAM"", ""application_url"": ""https://octant.app/project/4/0x7Dd488f03E0A043b550E82D3C2685aA83B96407C"", ""token_amount"": 0.498, ""token_unit"": ""ETH""}"
ecosynthesisx,836.06085,2024-07-30,octant-golemfoundation,epoch_4,"{""application_name"": ""EcoSynthesisX"", ""application_url"": ""https://octant.app/project/4/0x7380A42137D16a0E7684578d8b3d32e1fbD021B5"", ""token_amount"": 0.255, ""token_unit"": ""ETH""}"
ethereum-attestation-service,31232.61042,2024-07-30,octant-golemfoundation,epoch_4,"{""application_name"": ""Ethereum Attestation Service"", ""application_url"": ""https://octant.app/project/4/0xBCA48834b3653ec795411EB0FCBE4038F8527d62"", ""token_amount"": 9.526, ""token_unit"": ""ETH""}"
ethereum-cat-herders,27258.86238,2024-07-30,octant-golemfoundation,epoch_4,"{""application_name"": ""Ethereum Cat Herders"", ""application_url"": ""https://octant.app/project/4/0x02Cb3C150BEdca124d0aE8CcCb72fefbe705c953"", ""token_amount"": 8.314, ""token_unit"": ""ETH""}"
ethstaker,34255.54416,2024-07-30,octant-golemfoundation,epoch_4,"{""application_name"": ""EthStaker"", ""application_url"": ""https://octant.app/project/4/0xF01CEe26213d1A6eaF16422241AE81f7C17B9f98"", ""token_amount"": 10.448, ""token_unit"": ""ETH""}"
fundingthecommons,31249.00377,2024-07-30,octant-golemfoundation,epoch_4,"{""application_name"": ""Funding the Commons"", ""application_url"": ""https://octant.app/project/4/0x576edCed7475D8F64a5e2D5227c93Ca57d7f5d20"", ""token_amount"": 9.531, ""token_unit"": ""ETH""}"
givepraise,52757.07897,2024-07-30,octant-golemfoundation,epoch_4,"{""application_name"": ""Praise"", ""application_url"": ""https://octant.app/project/4/0x0B7246eF74Ca7b37Fdc3D15be4f0b49876622F95"", ""token_amount"": 16.091, ""token_unit"": ""ETH""}"
growthepie,3767.19183,2024-07-30,octant-golemfoundation,epoch_4,"{""application_name"": ""growthepie"", ""application_url"": ""https://octant.app/project/4/0x9438b8B447179740cD97869997a2FCc9b4AA63a2"", ""token_amount"": 1.149, ""token_unit"": ""ETH""}"
hypercerts,42891.56094,2024-07-30,octant-golemfoundation,epoch_4,"{""application_name"": ""Hypercerts"", ""application_url"": ""https://octant.app/project/4/0x2DCDF80f439843D7E0aD1fEF9E7a439B7917eAc9"", ""token_amount"": 13.082, ""token_unit"": ""ETH""}"
