to_project_name,amount,funding_date,from_funder_name,grant_pool_name,metadata
brightid,9.0,2024-01-17,octant-golemfoundation,epoch_2,"{""application_name"": ""BrightID"", ""application_url"": ""https://octant.app/project/Epoch 2/0x78e084445C3F1006617e1f36794dd2261ecE4AE3"", ""token_amount"": 0.0036, ""token_unit"": ""ETH""}"
clrfund,16.25,2024-01-17,octant-golemfoundation,epoch_2,"{""application_name"": ""Clr.fund"", ""application_url"": ""https://octant.app/project/Epoch 2/0xAb6D6a37c5110d1377832c451C33e4fA16A9BA05"", ""token_amount"": 0.0065, ""token_unit"": ""ETH""}"
commonsbuild,20.75,2024-01-17,octant-golemfoundation,epoch_2,"{""application_name"": ""Token Engineering Commons"", ""application_url"": ""https://octant.app/project/Epoch 2/0xE2f413190Bb5D6AAcB4A056F1B5E1fD5B8141045"", ""token_amount"": 0.0083, ""token_unit"": ""ETH""}"
dao-drops-dorgtech,12303.5,2024-01-17,octant-golemfoundation,epoch_2,"{""application_name"": ""DAO Drops"", ""application_url"": ""https://octant.app/project/Epoch 2/0x1c01595f9534E33d411035AE99a4317faeC4f6Fe"", ""token_amount"": 4.9214, ""token_unit"": ""ETH""}"
drips-network,53461.25,2024-01-17,octant-golemfoundation,epoch_2,"{""application_name"": ""drips-network"", ""application_url"": ""https://octant.app/project/Epoch 2/0xcC7d34C76A9d08aa0109F7Bae35f29C1CE35355A"", ""token_amount"": 21.3845, ""token_unit"": ""ETH""}"
ethereum-cat-herders,15475.75,2024-01-17,octant-golemfoundation,epoch_2,"{""application_name"": ""Ethereum Cat Herders"", ""application_url"": ""https://octant.app/project/Epoch 2/0x02Cb3C150BEdca124d0aE8CcCb72fefbe705c953"", ""token_amount"": 6.1903, ""token_unit"": ""ETH""}"
ethstaker,45864.0,2024-01-17,octant-golemfoundation,epoch_2,"{""application_name"": ""EthStaker"", ""application_url"": ""https://octant.app/project/Epoch 2/0xD165df4296C85e780509fa1eace0150d945d49Fd"", ""token_amount"": 18.3456, ""token_unit"": ""ETH""}"
gitcoin,14114.25,2024-01-17,octant-golemfoundation,epoch_2,"{""application_name"": ""Gitcoin"", ""application_url"": ""https://octant.app/project/Epoch 2/0xde21F729137C5Af1b01d73aF1dC21eFfa2B8a0d6"", ""token_amount"": 5.6457, ""token_unit"": ""ETH""}"
givepraise,13586.0,2024-01-17,octant-golemfoundation,epoch_2,"{""application_name"": ""Praise"", ""application_url"": ""https://octant.app/project/Epoch 2/0x0B7246eF74Ca7b37Fdc3D15be4f0b49876622F95"", ""token_amount"": 5.4344, ""token_unit"": ""ETH""}"
giveth,25575.25,2024-01-17,octant-golemfoundation,epoch_2,"{""application_name"": ""Giveth"", ""application_url"": ""https://octant.app/project/Epoch 2/0x6e8873085530406995170Da467010565968C7C62"", ""token_amount"": 10.2301, ""token_unit"": ""ETH""}"
glo-foundation,12538.5,2024-01-17,octant-golemfoundation,epoch_2,"{""application_name"": ""Glo Dollar"", ""application_url"": ""https://octant.app/project/Epoch 2/0x8c89a6bf53cCF63e7B4465Cc1b1330723B4BdcB7"", ""token_amount"": 5.0154, ""token_unit"": ""ETH""}"
hausdao,17.5,2024-01-17,octant-golemfoundation,epoch_2,"{""application_name"": ""PublicHAUS"", ""application_url"": ""https://octant.app/project/Epoch 2/0x4A9a27d614a74Ee5524909cA27bdBcBB7eD3b315"", ""token_amount"": 0.007, ""token_unit"": ""ETH""}"
hypercerts,40950.74999999999,2024-01-17,octant-golemfoundation,epoch_2,"{""application_name"": ""Hypercerts"", ""application_url"": ""https://octant.app/project/Epoch 2/0x2DCDF80f439843D7E0aD1fEF9E7a439B7917eAc9"", ""token_amount"": 16.3803, ""token_unit"": ""ETH""}"
kernel-community,10.25,2024-01-17,octant-golemfoundation,epoch_2,"{""application_name"": ""Kernel"", ""application_url"": ""https://octant.app/project/Epoch 2/0x7DAC9Fc15C1Db4379D75A6E3f330aE849dFfcE18"", ""token_amount"": 0.0041, ""token_unit"": ""ETH""}"
l2beat,40264.5,2024-01-17,octant-golemfoundation,epoch_2,"{""application_name"": ""L2BEAT"", ""application_url"": ""https://octant.app/project/Epoch 2/0x0cbF31Ef6545EE30f47651D1A991Bf0aeB03DF29"", ""token_amount"": 16.1058, ""token_unit"": ""ETH""}"
metagame-metafam,28475.0,2024-01-17,octant-golemfoundation,epoch_2,"{""application_name"": ""MetaGame"", ""application_url"": ""https://octant.app/project/Epoch 2/0x3455FbB4D34C6b47999B66c83aA7BD8FDDade638"", ""token_amount"": 11.39, ""token_unit"": ""ETH""}"
opensource-observer,32405.0,2024-01-17,octant-golemfoundation,epoch_2,"{""application_name"": ""Open Source Observer"", ""application_url"": ""https://octant.app/project/Epoch 2/0x87fEEd6162CB7dFe6B62F64366742349bF4D1B05"", ""token_amount"": 12.962, ""token_unit"": ""ETH""}"
pairwise-general-magic,19974.75,2024-01-17,octant-golemfoundation,epoch_2,"{""application_name"": ""Pairwise"", ""application_url"": ""https://octant.app/project/Epoch 2/0xd1B8dB70Ded72dB850713b2ce7e1A4FfAfAD95d1"", ""token_amount"": 7.9899, ""token_unit"": ""ETH""}"
protocol-guild,91380.0,2024-01-17,octant-golemfoundation,epoch_2,"{""application_name"": ""Protocol Guild"", ""application_url"": ""https://octant.app/project/Epoch 2/0xF6CBDd6Ea6EC3C4359e33de0Ac823701Cc56C6c4"", ""token_amount"": 36.552, ""token_unit"": ""ETH""}"
revoke-cash,38274.5,2024-01-17,octant-golemfoundation,epoch_2,"{""application_name"": ""Revoke.cash"", ""application_url"": ""https://octant.app/project/Epoch 2/0xe126b3E5d052f1F575828f61fEBA4f4f2603652a"", ""token_amount"": 15.3098, ""token_unit"": ""ETH""}"
rotki,27660.75,2024-01-17,octant-golemfoundation,epoch_2,"{""application_name"": ""Rotki"", ""application_url"": ""https://octant.app/project/Epoch 2/0x9531C059098e3d194fF87FebB587aB07B30B1306"", ""token_amount"": 11.0643, ""token_unit"": ""ETH""}"
shutter-network,13003.0,2024-01-17,octant-golemfoundation,epoch_2,"{""application_name"": ""Shielded Voting"", ""application_url"": ""https://octant.app/project/Epoch 2/0xB476Ee7D610DAe7B23B671EBC7Bd6112E9772969"", ""token_amount"": 5.2012, ""token_unit"": ""ETH""}"
tor-project,22372.5,2024-01-17,octant-golemfoundation,epoch_2,"{""application_name"": ""Tor Project"", ""application_url"": ""https://octant.app/project/Epoch 2/0x15c941a44a343B8c46a28F2BB9aFc7a54E255A4f"", ""token_amount"": 8.949, ""token_unit"": ""ETH""}"
,30367.5,2024-01-17,octant-golemfoundation,epoch_2,"{""application_name"": ""Funding the Commons"", ""application_url"": ""https://octant.app/project/Epoch 2/0x576edCed7475D8F64a5e2D5227c93Ca57d7f5d20"", ""token_amount"": 12.147, ""token_unit"": ""ETH""}"
