,from_funder_name,to_project_name,amount,funding_date,grant_pool_name,metadata
20,clrfund,,188.12974349365155,07/18/2023,round_9,"{""project_name"": ""Bankless Academy"", ""project_url"": ""https://app.banklessacademy.com/"", ""funder_address"": ""0x806F08B7DD31fE0267e8c70C4bF8C4BfbBddE760"", ""funding_currency"": ""DAI"", ""funding_network"": ""Arbitrum""}"
21,clrfund,,161.86990903205222,07/18/2023,round_9,"{""project_name"": ""Ethereum Bolivia"", ""project_url"": ""https://beacons.ai/ethbolivia"", ""funder_address"": ""0x806F08B7DD31fE0267e8c70C4bF8C4BfbBddE760"", ""funding_currency"": ""DAI"", ""funding_network"": ""Arbitrum""}"
22,clrfund,,313.0224946732585,07/18/2023,round_9,"{""project_name"": ""Cryptoversidad"", ""project_url"": ""https://cryptoversidad.com/"", ""funder_address"": ""0x806F08B7DD31fE0267e8c70C4bF8C4BfbBddE760"", ""funding_currency"": ""DAI"", ""funding_network"": ""Arbitrum""}"
23,clrfund,,144.6226347573224,07/18/2023,round_9,"{""project_name"": ""DeSci LATAM"", ""project_url"": ""https://descilatam.org/"", ""funder_address"": ""0x806F08B7DD31fE0267e8c70C4bF8C4BfbBddE760"", ""funding_currency"": ""DAI"", ""funding_network"": ""Arbitrum""}"
24,clrfund,,9.127482013475994,07/18/2023,round_9,"{""project_name"": ""CryptoConexion Developer Hub"", ""project_url"": ""https://cryptoconexion.com/"", ""funder_address"": ""0x806F08B7DD31fE0267e8c70C4bF8C4BfbBddE760"", ""funding_currency"": ""DAI"", ""funding_network"": ""Arbitrum""}"
25,clrfund,,,07/18/2023,round_9,"{""project_name"": ""Blockathon DAO"", ""project_url"": ""https://blockathon.xyz/"", ""funder_address"": ""0x806F08B7DD31fE0267e8c70C4bF8C4BfbBddE760"", ""funding_currency"": ""DAI"", ""funding_network"": ""Arbitrum""}"
26,clrfund,,6878.400362191386,07/18/2023,round_9,"{""project_name"": ""Unitap"", ""project_url"": ""https://unitap.app/"", ""funder_address"": ""0x806F08B7DD31fE0267e8c70C4bF8C4BfbBddE760"", ""funding_currency"": ""DAI"", ""funding_network"": ""Arbitrum""}"
27,clrfund,,5122.572631280727,07/18/2023,round_9,"{""project_name"": ""Protocol Guild"", ""project_url"": ""https://protocol-guild.readthedocs.io/en/latest/"", ""funder_address"": ""0x806F08B7DD31fE0267e8c70C4bF8C4BfbBddE760"", ""funding_currency"": ""DAI"", ""funding_network"": ""Arbitrum""}"
28,clrfund,,4256.110484592513,07/18/2023,round_9,"{""project_name"": ""BrightID"", ""project_url"": ""https://www.brightid.org/"", ""funder_address"": ""0x806F08B7DD31fE0267e8c70C4bF8C4BfbBddE760"", ""funding_currency"": ""DAI"", ""funding_network"": ""Arbitrum""}"
29,clrfund,,3337.2156767701617,07/18/2023,round_9,"{""project_name"": ""Ethereum On ARM"", ""project_url"": ""https://ethereum-on-arm-documentation.readthedocs.io/"", ""funder_address"": ""0x806F08B7DD31fE0267e8c70C4bF8C4BfbBddE760"", ""funding_currency"": ""DAI"", ""funding_network"": ""Arbitrum""}"
30,clrfund,,2560.925236452187,07/18/2023,round_9,"{""project_name"": ""ETH Kipu (ETH Latam)"", ""project_url"": ""https://ethkipu.org/"", ""funder_address"": ""0x806F08B7DD31fE0267e8c70C4bF8C4BfbBddE760"", ""funding_currency"": ""DAI"", ""funding_network"": ""Arbitrum""}"
31,clrfund,,2387.7227882186435,07/18/2023,round_9,"{""project_name"": ""Solow"", ""project_url"": ""https://solow.io/"", ""funder_address"": ""0x806F08B7DD31fE0267e8c70C4bF8C4BfbBddE760"", ""funding_currency"": ""DAI"", ""funding_network"": ""Arbitrum""}"
32,clrfund,,2302.864656100726,07/18/2023,round_9,"{""project_name"": ""$Earth - Solarpunk DAO"", ""project_url"": ""https://solarpunkdao.earth/"", ""funder_address"": ""0x806F08B7DD31fE0267e8c70C4bF8C4BfbBddE760"", ""funding_currency"": ""DAI"", ""funding_network"": ""Arbitrum""}"
33,clrfund,,2238.4153707067094,07/18/2023,round_9,"{""project_name"": ""Proof of Integrity"", ""project_url"": ""https://www.proofofintegrity.org/"", ""funder_address"": ""0x806F08B7DD31fE0267e8c70C4bF8C4BfbBddE760"", ""funding_currency"": ""DAI"", ""funding_network"": ""Arbitrum""}"
34,clrfund,,2236.9713626424978,07/18/2023,round_9,"{""project_name"": ""Dappnode"", ""project_url"": ""https://dappnode.com/"", ""funder_address"": ""0x806F08B7DD31fE0267e8c70C4bF8C4BfbBddE760"", ""funding_currency"": ""DAI"", ""funding_network"": ""Arbitrum""}"
35,clrfund,,1897.520777372671,07/18/2023,round_9,"{""project_name"": ""Empowering Ethereum Tegucigalpa Community"", ""project_url"": ""http://ethereumhonduras.org/"", ""funder_address"": ""0x806F08B7DD31fE0267e8c70C4bF8C4BfbBddE760"", ""funding_currency"": ""DAI"", ""funding_network"": ""Arbitrum""}"
