,project,link,amount,tags,dune_namespace,oso_name
326,vrypan,https://vote.optimism.io/retropgf/3/application/0x4d16611e268b1c19d04bcd5350984ab00502c27e28a4d7d705b2d55bd88c10ce,0.0,RetroPGF3,,farcaster-py-vrypan
327,Fe,https://vote.optimism.io/retropgf/3/application/0x9ed643c855860e3fa9950a598af75c9810a39e2780c4227afe5bc8df865c067d,99379.28,RetroPGF3,,fe-ethereum
328,Filosofía Código,https://app.optimism.io/retropgf-discovery/0xb6F5414bAb8d5ad8F33E37591C02f7284E974FcB,13412.0,RetroPGF2,,filosofiacodigo
329,Randomness Ceremony,https://vote.optimism.io/retropgf/3/application/0xaa3b9caf85727a484ac82d25594adc78d68fef1291de82be680bf00436164741,14820.93,RetroPGF3,,filosofiacodigo
330,Findcaster,https://vote.optimism.io/retropgf/3/application/0x0649c52a10c70c6f044d930c1ad92756f6aed49e68fb136c6168cea78a73d524,4968.96,RetroPGF3,,findcaster-limone-eth
331,Footprint Analytics,https://gov.optimism.io/t/footprint-analytics-optimism-builders-grant-cycle-11/5603,30000.0,"Grants Season 3, Cycle 11, Builders Grant",,footprintanalytics
332,Forta,https://app.optimism.io/retropgf-discovery/0xD5Abb5086E5d18b6BdB8F0943b7786f2a0Af7Df2,10875.0,RetroPGF2,,forta-network
333,Forum,https://vote.optimism.io/retropgf/3/application/0x17b6075cdc32729b7ef683d9cb9160cfc5425c00115af4844eaf310721862e8d,74534.46,RetroPGF3,,forumdaos
334,Foundry,https://app.optimism.io/retropgf-discovery/0x4BAa1fcAe9Ba8F9e1247b5CFD71e2463e85b2284,148673.0,RetroPGF2,,foundry
335,foundry,https://vote.optimism.io/retropgf/3/application/0x86fdabe5c2a67af3c291ce7acb008088e21f99f3f6f1d464b28e9a8c2034455b,198758.57,RetroPGF3,,foundry
336,PatrickAlphaC,https://vote.optimism.io/retropgf/3/application/0xfcd835dcd49c065f771ddd79ee1a37a908645121a0a59c51738507d6c89ae06c,84472.39,RetroPGF3,,cyfrin
337,Fractal Visions,https://vote.optimism.io/retropgf/3/application/0xb786a6a7dfc293642c60cb34e00d2f5286aad6bc7e3d9c99f83493b44e7934e9,12422.41,RetroPGF3,,fractal-visions
338,Fractal Visions,https://app.optimism.io/retropgf-discovery/0xC4FC57Dedd2463314A3fD2DBadB86B4404C257e5,7589.0,RetroPGF2,,fractal-visions
339,Frame,https://vote.optimism.io/retropgf/3/application/0xdb768783fabfa13b0755542de7af4cb1d4a0c3e0b52ba68069c5d06b3718b7d5,123541.37,RetroPGF3,,frame-floating
340,Frame,https://app.optimism.io/retropgf-discovery/0x7c929EfA9a8A2A1524BA90aBc2B70801413fFD4c,47826.0,RetroPGF2,,frame-floating
341,Smart Onboarding SDK,https://vote.optimism.io/retropgf/3/application/0x2f2c20e60d1f327d708f2e46799a3582623ab0fac770bc1afb2b5e793f86bf83,22116.86,RetroPGF3,,g7dao
342,GasHawk,https://vote.optimism.io/retropgf/3/application/0x6f6e00c81aeb5d79b12ca07b1e301e64da9d17be6300d9d7f5008ceefdeac7ca,44720.68,RetroPGF3,,gashawk-corpus-io
343,GasHawk,https://app.optimism.io/retropgf-discovery/0xC1FDB60CFB2FbbD6EDc9b445D9B508Da2dBF2c9b,10536.0,RetroPGF2,,gashawk-corpus-io
344,http://gashawk.io/,https://app.charmverse.io/op-grants/page-39236545934980094,40000.0,"Grants Season 4, Cycle 14, Builders Grant",,gashawk-corpus-io
345,Gaslite,https://vote.optimism.io/retropgf/3/application/0xa6d7790f101a9e2efc543a623d1f362f0707f2dc570caa96ac092926fb2bedfb,49689.64,RetroPGF3,,poppunk-llc
346,Praise,https://vote.optimism.io/retropgf/3/application/0xf73e389c8467cd1dbf9afe32eb596e2b2d176272a3819fccfca22ec4bc978725,59627.57,RetroPGF3,,givepraise
347,Praise,https://app.optimism.io/retropgf-discovery/0xE2d2Ac26Cb9dE9a8BBc6d2698CC40b154fAc920d,9287.0,RetroPGF2,,givepraise
348,Praise: Improving Governance Accessibility through Contribution Based Attestations,https://gov.optimism.io/t/final-improving-governance-accessibility-through-praise-and-contribution-based-attestations/6150,112000.0,"Missions Season 4, Cycle 13, Intent 4, Builders Grant",,givepraise
349,GiveStation,https://app.optimism.io/retropgf-discovery/0x96Cd3AC1e5c2E4FB021B97dA3a6D57e8e665EDc3,1102.0,RetroPGF2,,givestation
350,GiveStation (youbuidl),https://vote.optimism.io/retropgf/3/application/0x4eaad00dad07e150e1570ee2faff68700cc106cf96d470be91eb8ee28bfa7d6c,7453.45,RetroPGF3,,givestation
351,Giveth,https://vote.optimism.io/retropgf/3/application/0x17cfb81d50a65a6ef3e7ecfdf8e4ca428514d77e74ca3c650d4ba9926f9e67ac,149068.93,RetroPGF3,,giveth
352,Giveth,https://gov.optimism.io/t/giveth-growth-experiment/5637,40000.0,"Grants Season 3, Cycle 11",,giveth
353,Giveth,https://app.optimism.io/retropgf-discovery/0xDCfe20E6C1d14c26930a28B1f92fB981CDa26884,129814.0,RetroPGF2,,giveth
354,geth,https://app.optimism.io/retropgf-discovery/0x60AdC0F89a41AF237ce73554EDe170D733ec14E0,230590.0,RetroPGF2,,go-ethereum
355,go-ethereum,https://vote.optimism.io/retropgf/3/application/0x5b5cb12df644ca17fabd91825886b5491d1526befaec2924315b8e5971d26cf8,496896.42,RetroPGF3,,go-ethereum
356,go-ethereum-hdwallet,https://vote.optimism.io/retropgf/3/application/0x4fa4c7e69725d373c6c010ae9a56e26857a72d5797d8575eb4c7210a31bffbea,49689.64,RetroPGF3,,go-ethereum-hdwallet-miguelmota
357,Department of Decentralization,https://vote.optimism.io/retropgf/3/application/0xf780b4a39ea9529b9e7af1638c816801ce89cf06e93dd6d66ea383fb3ed263f0,124224.11,RetroPGF3,,goerli-eth-clients
358,GoPlus Security,https://vote.optimism.io/retropgf/3/application/0x93efc906a84b4367757350dacd0ad700cafc78eb658fcb47d0b4f7e0240d2e9f,37023.75,RetroPGF3,,goplussecurity
359,Gov,https://vote.optimism.io/retropgf/3/application/0x8ea2ef9ab0d04fe8fdb9edd5208abf0504eafb530378f52b6a401f2b26a9e233,18471.13,RetroPGF3,,gov-w3hc
360,Gov,https://app.optimism.io/retropgf-discovery/0xa30189949cD8F662582b10eB6E353374419EDf67,1080.0,RetroPGF2,,gov-w3hc
361,Grappa Finance,https://vote.optimism.io/retropgf/3/application/0x8950355a1dd8ddcbd9acc926563e980bc6df7b41358a6ba6fa58822f235baedb,0.0,RetroPGF3,,grappafinance
362,Grateful,https://vote.optimism.io/retropgf/3/application/0xcbafba4f9d052bf3575a31d0a48c6a194480d1e05f78589fe1a8e71031fb88f8,49689.64,RetroPGF3,,grateful-protocol
363,Grindery Delight,https://app.charmverse.io/op-grants/page-564118893844912,10000.0,"Grants Season 4, Cycle 14, Builders Grant",,grindery-io
364,growthepie,https://vote.optimism.io/retropgf/3/application/0x849e164d1b8cc2b51bd3313d007ac58acb816660492336d2498615551ec75f02,76445.53,RetroPGF3,,growthepie
365,"growthepie OP Stack Metrics, Blockspace & Developer’s Resources",https://app.charmverse.io/op-grants/page-39058541725517215,35000.0,"Grants Season 4, Cycle 14, Builders Grant",,growthepie
366,Guild,https://app.optimism.io/retropgf-discovery/0xab12931a2c0C519a62794C24105E2f66eE35CFE7,51001.0,RetroPGF2,,guildxyz
367,Let's Get HAI: a multi-collateral fork of RAI ,https://app.charmverse.io/op-grants/page-5989100035328812,100000.0,"Grants Season 4, Cycle 14, Growth Grant",,hai-on-op
368,Hamster,https://app.charmverse.io/op-grants/page-6041417980868986,40000.0,"Grants Season 4, Cycle 14, Builders Grant",,hamster-shared
369,Hardhat,https://vote.optimism.io/retropgf/3/application/0x31588517386990050541aed3f6d4d5a370e30fcd5bf622886c1955ffc9565f52,280249.58,RetroPGF3,,hardhat-nomicfoundation
370,Hardhat Tracer,https://vote.optimism.io/retropgf/3/application/0x91411a9f53cb3d0d36f4dc6394d6d6aea81e12d9ecef2ac2225af3f9fe6d3d07,66145.36,RetroPGF3,,hardhat-tracer-zemse
371,Public HAUS,https://vote.optimism.io/retropgf/3/application/0x1230e13ddd6a768853da352e490b26ce145a23554359c7bb2522c0700ef5381e,49197.71,RetroPGF3,,hausdao
372,Sweetman,https://vote.optimism.io/retropgf/3/application/0xb736895db321cd99558c9b3c039fb03442e2fd2cfa95c95e1dd13a2d611fada7,24844.82,RetroPGF3,,heno-relief-game-sweetmantech
373,Herodotus,https://gov.optimism.io/t/cycle-11-herodotus-storage-proofs/5630,50000.0,"Grants Season 3, Cycle 11, Builders Grant",,herodotusdev
374,hildobby,https://vote.optimism.io/retropgf/3/application/0x5bd75a998f0c4564449fadff6ad602fd73df5d02e836d5d5369f3d6a10e567df,32298.27,RetroPGF3,,hildobby
375,hildobby's Dune dashboards,https://app.optimism.io/retropgf-discovery/0x09a5943a6d10919571eE2C9F63380aEA747ECA97,31171.0,RetroPGF2,,hildobby
376,Hildr: Optimism-java stack,https://app.charmverse.io/op-grants/proposals?id=e5613e76-a26f-41e4-9f0d-4e2dbfccf5b8,25000.0,"Grants Season 4, Cycle 13, Builders Grant",,hildr-optimism-java
377,grapebaba,https://vote.optimism.io/retropgf/3/application/0x34f3abc13da15fc697abc16701dfafb2896c7a063a80959b997c5c3218b24523,62608.95,RetroPGF3,,hildr-optimism-java
378,Hummingbot,https://vote.optimism.io/retropgf/3/application/0x9ff4d4ff2ba7e77917b04ec98c645535a0ff29f0584a67c92201e34757d57b2e,0.0,RetroPGF3,,hummingbot
379,Golden Boys (GOLD),https://vote.optimism.io/retropgf/3/application/0x354f3199bd976ba1839b8d893b7fd0234e2c6f29ccbc38e66fefbadeb060642f,0.0,RetroPGF3,,humpysgold
380,ERC-6551 Tooling,https://vote.optimism.io/retropgf/3/application/0xe32dd99f7bf39e91647601d011d0801f61cc551b89aa37f9b8f387178ce98464,22116.86,RetroPGF3,,hypeshothq
381,Idle x Optimism,https://app.charmverse.io/op-grants/page-5487372006410718,150000.0,"Grants Season 4, Cycle 14, Growth Grant",,idle-finance
382,IDriss,https://vote.optimism.io/retropgf/3/application/0x389052bbf6ba46b28fdb951e573560a21c61490449f4fd17f8399e93e0dec333,49689.64,RetroPGF3,,idriss-crypto
383,Impersonator,https://vote.optimism.io/retropgf/3/application/0x2baa369e4449595c51759fa9a5b71e3e016b108b6baac6a0b815874a898eade5,72511.1,RetroPGF3,,impersonator-eth
384,Index Supply,https://vote.optimism.io/retropgf/3/application/0x91accca44656ae99040e947aa75f50e9f9657bce564fdf1b9f266c32081ecf0b,57143.09,RetroPGF3,,indexsupply
385,Infinity Keys,https://gov.optimism.io/t/infinity-keys-build-grant-cycle-11/5635,25000.0,"Grants Season 3, Cycle 11, Builders Grant",,infinity-keys
386,Infinity Wallet,https://vote.optimism.io/retropgf/3/application/0x6171948a78c9c005648ef034be5ae3b2dec2535cdf437b2cf1f67d66f72e5073,24357.86,RetroPGF3,,infinitywallet
387,Infinity Wallet & Web3 Browser,https://app.optimism.io/retropgf-discovery/0xb7D6937F3aa9E09817C045b7d5b5Fb5064370671,2509.0,RetroPGF2,,infinitywallet
388,Infinity Wallet - Builder Cycle 15,https://app.charmverse.io/op-grants/page-11908812258760593,30000.0,"Grants Season 4, Cycle 15, Builders Grant",,infinitywallet
389,IC3,https://app.optimism.io/retropgf-discovery/0xBF430a49C4d85AeeD3908619D5387A1fbF8E74A9,45349.0,RetroPGF2,,initc3
390,Inverter,https://gov.optimism.io/t/builders-cycle-11-inverter-network-conditional-streaming-protocol-on-optimism/5623,50000.0,"Grants Season 3, Cycle 11, Builders Grant",,inverternetwork
391,Inverter Network,https://vote.optimism.io/retropgf/3/application/0xf7a5573c9467232564842bdc02d87c1ccba9c66bca347b9455c89fc9eb97852b,24844.82,RetroPGF3,,inverternetwork
392,IPFS,https://vote.optimism.io/retropgf/3/application/0x4ee85a3d39e87cfd1f59d5067668bcacfaf111b74bbd3d1fcbe6da166395f372,225861.29,RetroPGF3,,ipfs
393,Ipsilon,https://vote.optimism.io/retropgf/3/application/0x92a87cf038d881b99443a9157cd5649fe87a9df62511aaf72c5fe659ff8ef02b,99379.28,RetroPGF3,,ipsilon
394,Ipsilon,https://app.optimism.io/retropgf-discovery/0xF96Aa4A25fDe246d9dD498B145F52Fab0eAd29f3,23531.0,RetroPGF2,,ipsilon
395,Clave (formerly Opclave),https://vote.optimism.io/retropgf/3/application/0x0517a9d930d480d5478b6b173e54376cd03ec48d17574baadde2a6322560c7a7,74534.46,RetroPGF3,,itu-blockchain
396,ITU Blockchain,https://app.optimism.io/retropgf-discovery/0xBEC643BD5b7F5e9190617CA4187ef0455950C51C,26447.0,RetroPGF2,,itu-blockchain
397,JEFE TOKEN,https://vote.optimism.io/retropgf/3/application/0xfe2b907f252c0cb610a2625a1da0746862b02b814a0ad1a3296271725a841ec4,12422.41,RetroPGF3,,jefetoken
398,JiffyScan,https://vote.optimism.io/retropgf/3/application/0xfd284c78fd0dfbc9d66a2c7638601860a02990d25de2ff46365ef487c7d138ed,74534.46,RetroPGF3,,jiffy-labs
399,JiffyScan,https://gov.optimism.io/t/jiffyscan-builder-grant-cycle-11/5562,46000.0,"Grants Season 3, Cycle 11, Builders Grant",,jiffy-labs
400,JiffyScan,https://app.optimism.io/retropgf-discovery/0x3b036793Ea6dD8D9b352847f32818FA253eB759d,18995.0,RetroPGF2,,jiffy-labs
401,JobStash,https://vote.optimism.io/retropgf/3/application/0x3dfd6b4332ecaa6f961b5de2fc02b57f521710c79393e352bbe7e6ab8adff4f0,16496.96,RetroPGF3,,jobstash
402,JustCause,https://vote.optimism.io/retropgf/3/application/0x9979098a0bd42d43226f772324d159dc274ab52d4c5ed9399fdfc1b01e6f5448,0.0,RetroPGF3,,justcause-smeee23
403,Kairos Research,https://vote.optimism.io/retropgf/3/application/0xb4e6f65da9c95c3bf4e2113fdb1faf843d024f558734e882fcf4c64c95c043fa,17333.73,RetroPGF3,,kairosresearch
404,Kernel,https://vote.optimism.io/retropgf/3/application/0x1fd47d4e1eb48f9423464b8fe00c9b2c490705e138082ac5c3b8ee7aa2258d3b,99379.28,RetroPGF3,,kernel-community
405,Kernel,https://app.optimism.io/retropgf-discovery/0xC728DEa8B2972E6e07493BE8DC2F0314F7dC3E98,132035.0,RetroPGF2,,kernel-community
406,Keyring,https://vote.optimism.io/retropgf/3/application/0x6b9133680966c6d5b9a0496aa442e063ea73d965024cb2c89685f9f3c79148f0,17715.35,RetroPGF3,,keyring-so
407,Kiwi News,https://vote.optimism.io/retropgf/3/application/0x50565b1e518ab91b14ef50fdab91a63623fb5951e96c18918e36be5aeb6fd297,28318.13,RetroPGF3,,kiwi-news-attestate
408,timdaub’s work as ETH Magician,https://app.optimism.io/retropgf-discovery/0x005241438cAF3eaCb05bB6543151f7AF894C5B58,10073.0,RetroPGF2,,kiwi-news-attestate
409,Kredeum NFTs Factory,https://vote.optimism.io/retropgf/3/application/0x0d6e26e569c5948ab3298986d805965a6f6f8c9f15308600e725ad512c5c1e61,14906.89,RetroPGF3,,kredeum
410,Xofee,https://vote.optimism.io/retropgf/3/application/0x8e27954588424d59759c84a2692f4115e12bb557b584ecea2b8e872aa3cdc133,50076.23,RetroPGF3,,kzg-marble-machine-xofee
411,L2BEAT,https://app.optimism.io/retropgf-discovery/0xa142aB9eab9264807A41F0E5cbDab877D204E233,256294.0,RetroPGF2,,l2beat
412,L2BEAT 💗,https://vote.optimism.io/retropgf/3/application/0xc754e70f8d64d1923e4fb7591e0cad3790d4e164b3b11a8db1c1356714037792,198758.57,RetroPGF3,,l2beat
413,L2 Planet,https://vote.optimism.io/retropgf/3/application/0x61d9a1f264eee03736c42a4e80d7f06d531b3305f53a8d3692ef901e3ec4af6e,0.0,RetroPGF3,,l2planet
414,L2planet,https://app.optimism.io/retropgf-discovery/0xf23F9C10D1559885dABEE67c59c4554E6152697b,6845.0,RetroPGF2,,l2planet
415,Lattice (OPCraft & MUD),https://vote.optimism.io/retropgf/3/application/0xd623d6ed56a0f8bb9d891f8f3c84f7d76b12741c83103715ec061eaa5d80e27e,195280.29,RetroPGF3,,latticexyz
416,OPCraft & MUD (Lattice),https://app.optimism.io/retropgf-discovery/0xD8ce5Ae15E2A9C8528FDce195AD43015782C5079,183348.0,RetroPGF2,,latticexyz
417,Layer2DAO,https://app.optimism.io/retropgf-discovery/0x062a07cBf4848fdA67292A96a5E02C97E402233F,1466.0,RetroPGF2,,layer2dao
418,Layer2dao,https://gov.optimism.io/t/gf-phase-0-proposal-layer2dao/1198/8,300000.0,"Grants Season 1, Cycle 1 (Phase 0), Incentive Program Launched",,layer2dao
419,Layerswap: Onboarding to Optimism from everywhere,https://app.charmverse.io/op-grants/proposals?id=82cbcf7d-397c-472a-b576-f09089311919,145000.0,"Grants Season 4, Cycle 13, Growth Grant",,layerswap
420,LearnWeb3,https://vote.optimism.io/retropgf/3/application/0x013249f25537a8abdd06d367538d0eab0c9e5e8e36dde210abe1e7da8dd89c9e,49689.64,RetroPGF3,,learnweb3dao
421,Lemon Cash Grant Proposal,https://app.charmverse.io/op-grants/page-0751418438700624,80000.0,"Grants Season 4, Cycle 15, Growth Grant",,lemonatio
422,LexDAO,https://vote.optimism.io/retropgf/3/application/0x88403a05838b89463ea5a2a8635d2b4c537fb2f6e7a4b939bebb60adb7dedee0,79503.43,RetroPGF3,,lexdao
423,libp2p,https://vote.optimism.io/retropgf/3/application/0xc6c2fa66bbe46ab4a041463f0414883b2c12bd4399355aa62d48b2e1b2669940,298137.85,RetroPGF3,,libp2p
424,Lighthouse,https://vote.optimism.io/retropgf/3/application/0xd37644d60f063de12786ccd1bb192bdca7ead7aaed1707161943e0ce8bfb72ff,298137.85,RetroPGF3,,lighthouse-sigp
425,Lighthouse,https://app.optimism.io/retropgf-discovery/0x59cc06BF5CF5e07790432599060B7D402F9d2cA8,165460.0,RetroPGF2,,lighthouse-sigp
426,LimeChain: Extend the L1Block contract to store historical block hash da,https://gov.optimism.io/t/final-extend-the-l1block-contract-to-store-historical-block-hash-data/6103,10000.0,"Missions Season 4, Cycle 13, Ember, Builders Grant",,limechain
427,Rollup.codes,https://vote.optimism.io/retropgf/3/application/0x6f845346e36b53a2fadd37486b709d088aa4278cc5b3b0e3e9488b85ff450822,46083.66,RetroPGF3,,limechain
428,Liquid Resilience,https://app.charmverse.io/op-grants/page-32348106058763193,20000.0,"Grants Season 4, Cycle 14, Builders Grant",,liquid-resilience-digoppgroup
429,Liquity Protocol,https://app.charmverse.io/op-grants/page-4220122436183489,150000.0,"Grants Season 4, Cycle 14, Growth Grant",,liquity
430,LlamaFolio,https://vote.optimism.io/retropgf/3/application/0xf42ea318753c3e178b843d0f7718634e910003f14ce2b32c6bee43be9cdc02ee,56038.49,RetroPGF3,,llamafolio
431,LlamaFolio,https://app.optimism.io/retropgf-discovery/0x2cd0ac587Fc0E6FBcF8A47A449971649E7dab835,8246.0,RetroPGF2,,llamafolio
432,LlamaNodes | High-Performant & Cost-Effective RPCs,https://app.charmverse.io/op-grants/page-0012423812683026725,100000.0,"Grants Season 4, Cycle 15, RFG5",,llamanodes
433,Locksmith Wallet & Smart Contracts,https://app.charmverse.io/op-grants/page-8035332025592417,50000.0,"Grants Season 4, Cycle 14, Builders Grant",,locksmithwallet
434,Lodestar,https://vote.optimism.io/retropgf/3/application/0xde75c1d79d53e7864eca485bd594741b745f36cdafdc272cc7809407acb409db,248448.21,RetroPGF3,,lodestar-chainsafe
435,Lodestar,https://app.optimism.io/retropgf-discovery/0x6Fa4C420E9567203Aa65eB38da5DBe361fD61ff2,79663.0,RetroPGF2,,lodestar-chainsafe
436,LXDAO,https://vote.optimism.io/retropgf/3/application/0x79aaf24aab7a9cffbaffd2003b262aa452d31b5a07fb17c54021479284c564be,27826.2,RetroPGF3,,lxdao-official
437,Mechanism Institute,https://vote.optimism.io/retropgf/3/application/0x31e6a151a738d9175f93bd96c5578b71f66475ddbd341b5da69ce5ddb2ad7bfc,27329.3,RetroPGF3,,mechanism-institute
438,EUROe – A MiCA-compliant euro stablecoin,https://app.charmverse.io/op-grants/page-6388174495761412,44500.0,"Grants Season 4, Cycle 14, Builders Grant",,membranefi
439,MerkleTreeJS,https://app.optimism.io/retropgf-discovery/0x358fdcCDE25e0aae7fBA01F088Da89b08aBF61DB,58260.0,RetroPGF2,,merkletreejs
440,MesoReefDAO,https://vote.optimism.io/retropgf/3/application/0xe0bf90167bf2df7b82043f0c0bf564730e5ebd506e2cacf4d44f8c3cd29cdc27,0.0,RetroPGF3,,mesoreefdao
441,Messari Protocol Services,https://app.optimism.io/retropgf-discovery/0x47A6a1B6492B6dF811606B8294A02b4268e86dAD,19086.0,RetroPGF2,,messari
442,Meta Game: Onboard & prepare builders that will help to create new socioeconomic systems. ,https://app.charmverse.io/op-grants/page-27013511701775395,38800.0,"Grants Season 4, Cycle 14, Builders Grant",,metagame-metafam
443,DAOStar: Governance standards for the Optimism ecosystem,https://gov.optimism.io/t/final-daostar-governance-standards-for-the-optimism-ecosystem/6181,67500.0,"Missions Season 4, Cycle 13, Intent 4, Builders Grant",,metagov
444,DAOstar: DAO Onboarding & Attestation List,https://app.charmverse.io/op-grants/proposals?id=fa615667-86b8-4ce1-a406-6ee2ff7c6d10,37500.0,"Grants Season 4, Cycle 13, Builders Grant",,metagov
445,Metagov,https://vote.optimism.io/retropgf/3/application/0xe367584886bdb185038a466f6a8e5a4ad746ffef051507a311cae85ae11c7d5e,99379.28,RetroPGF3,,metagov
446,Metagov,https://app.charmverse.io/op-grants/page-19870254990933112,20000.0,"Grants Season 4, Cycle 15, RFG6",,metagov
447,MetricsDAO,https://vote.optimism.io/retropgf/3/application/0xaf08029a3c0accb045830a66a63d8d500d21c662f5147150bc4e908869b99fbc,26709.18,RetroPGF3,,metricsdao
448,Metronomo,https://gov.optimism.io/t/draft-gf-phase-1-proposal-metronomo/5021,22500.0,"Grants Season 3, Cycle 10, Builders Grant",,metronomo-xyz
449,Moonwell,https://vote.optimism.io/retropgf/3/application/0xeff464a4d1163c24dea3777598667b31c6b68cea03649e0e8dbaa80fad82fc5f,54658.61,RetroPGF3,,moonwell-fi
450,Mosaic,https://vote.optimism.io/retropgf/3/application/0xf40a0097695977f72786fd5ddeabfd3f791cdccf8b5bf045ad295c86007c1345,34782.75,RetroPGF3,,mosaicfun
451,Multicall3,https://app.optimism.io/retropgf-discovery/0x60A5dcB2fC804874883b797f37CbF1b0582ac2dD,18799.0,RetroPGF2,,multicall-mds1
452,MUTUAL Research Library ,https://app.charmverse.io/op-grants/page-41316858303722204,35000.0,"Grants Season 4, Cycle 14, Growth Grant",,mutualsupply
453,Nacion Bankless,https://vote.optimism.io/retropgf/3/application/0xaa798e8755a6003a0f337780d1ad90ba73c94dea219515c588ec10221c4aa61e,4968.96,RetroPGF3,,nacion-bankless
454,Nethermind,https://vote.optimism.io/retropgf/3/application/0x610c90e43f00306d50b676c4b9f3c02612c121ba42137f9eac49dccc8d2d1d07,248448.21,RetroPGF3,,nethermindeth
455,Nethermind,https://app.optimism.io/retropgf-discovery/0xFED0e586cB372Fd0b17ead9F8cb1347BF8a5937f,135624.0,RetroPGF2,,nethermindeth
456,NFTScan (Cycle14),https://app.charmverse.io/op-grants/proposals?id=bcaedc5b-fbc5-46af-a9e4-d292bbf1cde2,35000.0,"Grants Season 4, Cycle 14, Builders Grant",,nftscan-official
457,NiceNode,https://vote.optimism.io/retropgf/3/application/0x825391e7c04751be3c9a8971ec57d1a1e9fba7f12df9e78046d3a4646b096dd9,74534.46,RetroPGF3,,nicenode
458,NiceNode,https://app.optimism.io/retropgf-discovery/0x9cce47E9cF12C6147c9844adBB81fE85880c4df4,21522.0,RetroPGF2,,nicenode
459,Nimbus,https://vote.optimism.io/retropgf/3/application/0x2133357c7f4da64fbf24b6edde526190e6f2396e9b2b7d5f0dde12ff9799867d,198758.57,RetroPGF3,,nimbus-status-im
460,Nimbus,https://app.optimism.io/retropgf-discovery/0x4413E96F6b46e59326a7695eF871FA902Ff7935d,84018.0,RetroPGF2,,nimbus-status-im
461,Node Guardians,https://vote.optimism.io/retropgf/3/application/0xc994fee0c5255f0bb044f3e0e86fc18ecb6243a10189e717f3269d430a0c507c,49689.64,RetroPGF3,,nodeguardians
462,Node Guardians,https://app.optimism.io/retropgf-discovery/0x6ef87E0Aaadb2c3d07fD98a098Af5FaD0aD45811,20278.0,RetroPGF2,,nodeguardians
463,Builder Protocol,https://vote.optimism.io/retropgf/3/application/0xa9b16b1e8a17444d945256acaf74dccd451bc330f809757af9b310b90cefa883,49689.64,RetroPGF3,,nouns-ourzora
464,Ocean Protocol for AI on Optimism,https://app.charmverse.io/op-grants/page-7976798372220861,38000.0,"Grants Season 4, Cycle 15, Builders Grant",,oceanprotocol
465,OmniBTC,https://app.charmverse.io/op-grants/proposals?id=0914d238-81b8-42c1-9cbb-41cfe4b795b7,90000.0,"Grants Season 4, Cycle 13, Growth Grant",,omniswap-omnibtc
466,Onchain Reads,https://vote.optimism.io/retropgf/3/application/0x7b855bce8c0fbab5e05de3891f1cdf733af9f00e06b8fc7c7742bb4fb93774d4,0.0,RetroPGF3,,onchain-reads-matallo
467,OnlyDust,https://app.charmverse.io/op-grants/page-6225720466674716,50000.0,"Grants Season 4, Cycle 14, Builders Grant",,onlydustxyz
468,Optimism AI,https://vote.optimism.io/retropgf/3/application/0xaeae1f24e9c99641e8670196d5bd50e3d19d2eb13f527cc7a8c7ee9e9fc87d33,0.0,RetroPGF3,,op-ai-web-asharibali
469,Michael Vander Meiden,https://app.optimism.io/retropgf-discovery/0x6EdA5aCafF7F5964E1EcC3FD61C62570C186cA0C,56339.0,RetroPGF2,,opdelegate-michael-vander-meiden
470,OPdelegate.com ,https://gov.optimism.io/t/final-opdelegate-com/6176,85000.0,"Missions Season 4, Cycle 13, Intent 4, Phoenix, Builders Grant",,opdelegate-michael-vander-meiden
471,Optimism Community Governance Calls (Michael),https://vote.optimism.io/retropgf/3/application/0x0d494df8a9fd661b3eac0d17be9cb49c90ca4c94d8b6551d82df74b74907ef4f,47702.06,RetroPGF3,,opdelegate-michael-vander-meiden
472,The RetroPGF Podcast,https://gov.optimism.io/t/final-the-retropgf-podcast/6182,8000.0,"Missions Season 4, Cycle 13, Intent 4, Phoenix, Builders Grant",,opdelegate-michael-vander-meiden
473,OpenOcean,https://vote.optimism.io/retropgf/3/application/0xdef7aef5aedfb4fe622c6a145659d6c1a7a9dfdb57e53c9a9dc93adf6f05f0d3,44720.68,RetroPGF3,,openocean-finance
474,Open Source Observer,https://vote.optimism.io/retropgf/3/application/0x21ff2e7e147448cad238cf12c9622b73cd409d17d6b9443181f8ea4f3a044c86,127914.06,RetroPGF3,,opensource-observer
475,OpenZeppelin,https://app.optimism.io/retropgf-discovery/0x6084fBE2Aa96Bb131D6Bc7Bd3BE786882cfA250F,181765.0,RetroPGF2,,openzeppelin
476,OpenZeppelin Contracts,https://vote.optimism.io/retropgf/3/application/0x912e6971c43c3a46dbb82d1358af205530663ef01c2fb0691d843a9f72293689,248448.21,RetroPGF3,,openzeppelin
477,Opti.domains,https://gov.optimism.io/t/ready-gf-phase-1-proposal-opti-domains-interoperable-domain-name-for-the-op-stack/5510,50000.0,"Grants Season 3, Cycle 11, Builders Grant",,opti-domains
478,Opti.domains | Connecting Web2&3 with ENS + Attestation,https://vote.optimism.io/retropgf/3/application/0x1b434e0cbcc1f7f55673f468fb0f179a553502407ef975f8bf431996b4afcaae,22116.86,RetroPGF3,,opti-domains
479,Faina,https://vote.optimism.io/retropgf/3/application/0x35410b3bbfeec0b4474cf36141da039eaa8bdeea6c619ac4efa2095c934131da,27329.3,RetroPGF3,,optimism-box-truffle
