to_project_name,amount,funding_date,from_funder_name,grant_name,grant_pool_name,metadata
excellar,88750.00,2023-07-07,stellar_development_foundation,stellar_community_fund,scf-17,"{""application_name"": ""Excellar"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recDCdserATw05JGr"",""token_amount"": 659457.38,""token_unit"": ""XLM""}"
oinc,105000.00,2023-08-04,stellar_development_foundation,stellar_community_fund,scf-17,"{""application_name"": ""Oinc - Automated Personal Finance"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recHtAS5rmHwAFWhn"",""token_amount"": 791381.9,""token_unit"": ""XLM""}"
perun-state-channels,84800.00,2023-07-28,stellar_development_foundation,stellar_community_fund,scf-17,"{""application_name"": ""Perun State Channels"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recka4IUGyCSpMaKW"",""token_amount"": 558415.07,""token_unit"": ""XLM""}"
basement,12130.00,2023-08-03,stellar_development_foundation,stellar_community_fund,scf-17,"{""application_name"": ""Basement"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/reckUpTGpkrfpxLT0"",""token_amount"": 86162.8,""token_unit"": ""XLM""}"
soroban-vscode-extension,39880.00,2023-07-27,stellar_development_foundation,stellar_community_fund,scf-17,"{""application_name"": ""Soroban-VSCode Extension"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recpomNZXKFtufheP"",""token_amount"": 264059.85,""token_unit"": ""XLM""}"
decaf-pay,150000.00,2023-08-03,stellar_development_foundation,stellar_community_fund,scf-17,"{""application_name"": ""Decaf Pay"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recp4q5jA9dXq7to6"",""token_amount"": 1106683.03,""token_unit"": ""XLM""}"
rust-soroban-client-library,25000.00,2023-07-26,stellar_development_foundation,stellar_community_fund,scf-17,"{""application_name"": ""Rust Soroban Client Library"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recJ1m2AzJdAiqm8Q"",""token_amount"": 183854.28,""token_unit"": ""XLM""}"
emigro,46400.00,2023-07-27,stellar_development_foundation,stellar_community_fund,scf-17,"{""application_name"": ""Emigro"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recMpM56WpU1AMLd1"",""token_amount"": 310546.6,""token_unit"": ""XLM""}"
easya,136800.00,2023-08-03,stellar_development_foundation,stellar_community_fund,scf-17,"{""application_name"": ""#SummerOfSoroban"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recOiKOyCVxtjSbaG"",""token_amount"": 1018070.55,""token_unit"": ""XLM""}"
slender,149250.00,2023-08-24,stellar_development_foundation,stellar_community_fund,scf-17,"{""application_name"": ""Slender"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recPZV9KigYc4et2I"",""token_amount"": 1227325.01,""token_unit"": ""XLM""}"
aquarius,147000.00,2023-08-10,stellar_development_foundation,stellar_community_fund,scf-17,"{""application_name"": ""Soroban & Aquarius"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recRUJxeF1PdlM6aV"",""token_amount"": 1106915.11,""token_unit"": ""XLM""}"
plutus,98600.00,2023-08-14,stellar_development_foundation,stellar_community_fund,scf-17,"{""application_name"": ""Plutus"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recUIdWohR9eqJIg8"",""token_amount"": 747717.04,""token_unit"": ""XLM""}"
arcturus,105120.00,2023-07-28,stellar_development_foundation,stellar_community_fund,scf-17,"{""application_name"": ""Arcturus"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/rec01tLmsvSK8wwj4"",""token_amount"": 689676.06,""token_unit"": ""XLM""}"
mojoflower,100000.00,2023-08-24,stellar_development_foundation,stellar_community_fund,scf-17,"{""application_name"": ""Bloom and Petal"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/rec5zyGnVx1mUR50F"",""token_amount"": 832696.75,""token_unit"": ""XLM""}"
ripe,100000.00,2023-08-04,stellar_development_foundation,stellar_community_fund,scf-17,"{""application_name"": ""Stellar USDC to GCash off-ramp"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/reczm3NWCRztmpQAK"",""token_amount"": 742657.94,""token_unit"": ""XLM""}"
soroswap-finance,139150.00,2023-07-26,stellar_development_foundation,stellar_community_fund,scf-17,"{""application_name"": ""Soroswap Protocol"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recDy2knwdmwAPWBd"",""token_amount"": 144244.12,""token_unit"": ""XLM""}"
uils,141027.50,2023-07-28,stellar_development_foundation,stellar_community_fund,scf-17,"{""application_name"": ""uils"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recb7lLAeoG5poknB"",""token_amount"": 940827.82,""token_unit"": ""XLM""}"
anclap,146400.00,2023-07-27,stellar_development_foundation,stellar_community_fund,scf-17,"{""application_name"": ""Stellar Prepaid Cards"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/reccDyvfqZISOWHI7"",""token_amount"": 963036.83,""token_unit"": ""XLM""}"
ultra-stellar-lobstr,144000.00,2023-07-26,stellar_development_foundation,stellar_community_fund,scf-17,"{""application_name"": ""Ultra Stellar / Soroban Integration"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recWR4fbwZYJ72i34"",""token_amount"": 1069290.13,""token_unit"": ""XLM""}"
