to_project_name,amount,funding_date,from_funder_name,grant_name,grant_pool_name,metadata
blue-orion,26170.70,2020-02-07,stellar_development_foundation,stellar_community_fund,scf-3,"{""application_name"": ""Blue Orion - Stellar Workshops & Seminars"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/receayD2QsCLZdyXP"",""token_amount"": 365385,""token_unit"": ""XLM""}"
cosmic-link,18939.30,2020-02-07,stellar_development_foundation,stellar_community_fund,scf-3,"{""application_name"": ""Cosmic.link ~ Transactions over URL"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recIehhTK99OHm3UH"",""token_amount"": 264423,""token_unit"": ""XLM""}"
litemint,25285.27,2020-01-18,stellar_development_foundation,stellar_community_fund,scf-3,"{""application_name"": ""Litemint"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recTdRTrjdI0eg1BW"",""token_amount"": 413463,""token_unit"": ""XLM""}"
public-node,33223.62,2020-01-17,stellar_development_foundation,stellar_community_fund,scf-3,"{""application_name"": ""Public Node – Nodes funded by community"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recTji3f3i7o27OUM"",""token_amount"": 543270,""token_unit"": ""XLM""}"
lumens-for-charity,18594.92,2020-02-07,stellar_development_foundation,stellar_community_fund,scf-3,"{""application_name"": ""Lumens for Charity - Donate XLM directly to Global Charities"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/rec3aAt6DPzGOh5bO"",""token_amount"": 259614,""token_unit"": ""XLM""}"
paysapp,28236.80,2020-02-07,stellar_development_foundation,stellar_community_fund,scf-3,"{""application_name"": ""Paysapp - Stellar payments in Whatsapp"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/rec4C0qVstIHsPgm0"",""token_amount"": 394230,""token_unit"": ""XLM""}"
stellarterm,17640.89,2020-01-18,stellar_development_foundation,stellar_community_fund,scf-3,"{""application_name"": ""Stellar Term"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recGp2bg7OQlVFllx"",""token_amount"": 288462,""token_unit"": ""XLM""}"
stellar-battle,33746.41,2020-02-07,stellar_development_foundation,stellar_community_fund,scf-3,"{""application_name"": ""Stellar Battle"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/rec8ayEkTa0W6PBNr"",""token_amount"": 471153,""token_unit"": ""XLM""}"
