to_project_name,amount,funding_date,from_funder_name,grant_name,grant_pool_name,metadata
prophe,42000.00,2024-06-26,stellar_development_foundation,stellar_community_fund,scf-28,"{""application_name"": ""Prophe"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/reczynrU3JHEYcAEw"",""token_amount"": 460459.17,""token_unit"": ""XLM""}"
defindex-defi-made-easy,100000.00,2024-07-26,stellar_development_foundation,stellar_community_fund,scf-28,"{""application_name"": ""DeFindex: DeFi Made Easy"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recCmEL04rTflMaSX"",""token_amount"": 976316.51,""token_unit"": ""XLM""}"
clickpesa-debt-fund,95000.00,2024-07-11,stellar_development_foundation,stellar_community_fund,scf-28,"{""application_name"": ""Making DeFi Finance work #2"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recEgzZZ8W6tacMCS"",""token_amount"": 1042560.62,""token_unit"": ""XLM""}"
rise-in,100000.00,2024-07-18,stellar_development_foundation,stellar_community_fund,scf-28,"{""application_name"": ""Soroban India & Turkey_Cont."",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/rec9KR280sa7GUduW"",""token_amount"": 969024.17,""token_unit"": ""XLM""}"
amero-defi-collective-savings,48000.00,2024-06-21,stellar_development_foundation,stellar_community_fund,scf-28,"{""application_name"": ""AMERO-DeFi Collective Savings"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recaF5bsiYHsjouqw"",""token_amount"": 517041.92,""token_unit"": ""XLM""}"
open-gamefi-sdk-,39000.00,2024-06-26,stellar_development_foundation,stellar_community_fund,scf-28,"{""application_name"": ""Open GameFi SDK "",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recchyWjFSmOPmvZl"",""token_amount"": 427569.23,""token_unit"": ""XLM""}"
merkle-tree-airdrop-tooling,48000.00,2024-06-26,stellar_development_foundation,stellar_community_fund,scf-28,"{""application_name"": ""Merkle Tree Airdrop Tooling"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recf8bn219NPAb7rX"",""token_amount"": 526239.05,""token_unit"": ""XLM""}"
giveth,50000.00,2024-07-12,stellar_development_foundation,stellar_community_fund,scf-28,"{""application_name"": ""Giveth"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/rechcT1UmtJlod9ec"",""token_amount"": 470563.43,""token_unit"": ""XLM""}"
bebop,36000.00,2024-07-10,stellar_development_foundation,stellar_community_fund,scf-28,"{""application_name"": ""Bebop"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recisU9Kvy1ORE0BX"",""token_amount"": 412243.64,""token_unit"": ""XLM""}"
kasmer-formal-verification,50000.00,2024-07-09,stellar_development_foundation,stellar_community_fund,scf-28,"{""application_name"": ""Kasmer: Formal Verification"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/reciIW33y5UCN7CLd"",""token_amount"": 572560.61,""token_unit"": ""XLM""}"
givecredit,64000.00,2024-07-18,stellar_development_foundation,stellar_community_fund,scf-28,"{""application_name"": ""GiveCredit"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recjpO5HRcHKL3QhH"",""token_amount"": 620175.47,""token_unit"": ""XLM""}"
keizai,41000.00,2024-07-10,stellar_development_foundation,stellar_community_fund,scf-28,"{""application_name"": ""Keizai V2.0"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recn2qqdZGTIcTm0n"",""token_amount"": 469499.7,""token_unit"": ""XLM""}"
real-time-contract-monitoring,47000.00,2024-06-26,stellar_development_foundation,stellar_community_fund,scf-28,"{""application_name"": ""Real-Time Contract Monitoring"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recwBum9zIyqY6TC3"",""token_amount"": 515275.73,""token_unit"": ""XLM""}"
baf-summer-of-stellar,37500.00,2024-06-27,stellar_development_foundation,stellar_community_fund,scf-28,"{""application_name"": ""BAF: Summer of Stellar"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recMMWmxb6Qfg3Lbx"",""token_amount"": 411053.05,""token_unit"": ""XLM""}"
payqin-blockchain-made-simple,50000.00,2024-07-10,stellar_development_foundation,stellar_community_fund,scf-28,"{""application_name"": ""PayQin: Blockchain made simple"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recQjC4JOmJ9hfjD9"",""token_amount"": 572560.61,""token_unit"": ""XLM""}"
neovestor-an-rwa-launchpad,50000.00,2024-07-10,stellar_development_foundation,stellar_community_fund,scf-28,"{""application_name"": ""Neovestor - An RWA launchpad"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recUcnDR8rtlntavE"",""token_amount"": 572560.61,""token_unit"": ""XLM""}"
grip,45285.00,2024-06-27,stellar_development_foundation,stellar_community_fund,scf-28,"{""application_name"": ""Grip"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/rec2D9kaGTaA48vU9"",""token_amount"": 496388.21,""token_unit"": ""XLM""}"
sgf-solutions,30500.00,2024-07-10,stellar_development_foundation,stellar_community_fund,scf-28,"{""application_name"": ""SGF Solutions"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/rec3KOWI0PBoNoy0A"",""token_amount"": 349261.97,""token_unit"": ""XLM""}"
octo-ultimate-sociofi-nft-hub,40500.00,2024-07-10,stellar_development_foundation,stellar_community_fund,scf-28,"{""application_name"": ""OCTO ultimate SocioFi NFT hub"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/rec59dhu7lEcLfHwR"",""token_amount"": 463774.09,""token_unit"": ""XLM""}"
gearup-marketplace,50000.00,2024-06-21,stellar_development_foundation,stellar_community_fund,scf-28,"{""application_name"": ""Gearup - Marketplace"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/rec6upUevElzRhgCs"",""token_amount"": 538585.33,""token_unit"": ""XLM""}"
assemblyscript-soroban-sdk,28000.00,2024-07-09,stellar_development_foundation,stellar_community_fund,scf-28,"{""application_name"": ""AS Soroban SDK"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/rec6BPjqE2tB48RQX"",""token_amount"": 320633.94,""token_unit"": ""XLM""}"
bigger-startup-camp-2-0,100000.00,2024-07-09,stellar_development_foundation,stellar_community_fund,scf-28,"{""application_name"": ""Startup Camp 2.0 - Round 2 & 3"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recGWdH8UVAhNcaxx"",""token_amount"": 1145121.21,""token_unit"": ""XLM""}"
sorobanhub,46500.00,2024-07-09,stellar_development_foundation,stellar_community_fund,scf-28,"{""application_name"": ""SorobanHub"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/rec8xDnSJsXhggxFP"",""token_amount"": 532481.36,""token_unit"": ""XLM""}"
zkliquid-evm-soroban-bridge,41525.00,2024-06-26,stellar_development_foundation,stellar_community_fund,scf-28,"{""application_name"": ""ZKLiquid: EVM - Soroban Bridge"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/rec97jRXGlg930CDY"",""token_amount"": 455251.59,""token_unit"": ""XLM""}"
tansu-soroban-versioning,48000.00,2024-07-11,stellar_development_foundation,stellar_community_fund,scf-28,"{""application_name"": ""Tansu - Soroban Versioning"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recheNDUSZjVVMowM"",""token_amount"": 526767.47,""token_unit"": ""XLM""}"
utoken,28379.00,2024-06-21,stellar_development_foundation,stellar_community_fund,scf-28,"{""application_name"": ""Utoken"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/rechwhwWyyUgGgDlC"",""token_amount"": 305690.26,""token_unit"": ""XLM""}"
omnilumen,50000.00,2024-07-26,stellar_development_foundation,stellar_community_fund,scf-28,"{""application_name"": ""Wagmi.sh for Soroban"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recowXcSbEYnfaD1C"",""token_amount"": 488158.25,""token_unit"": ""XLM""}"
teken-easy-multi-signatures,29500.00,2024-06-27,stellar_development_foundation,stellar_community_fund,scf-28,"{""application_name"": ""Teken - Easy Multi-Signatures"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recL7dgmOKB1HHEOo"",""token_amount"": 323362.09,""token_unit"": ""XLM""}"
link-io,87000.00,2024-07-18,stellar_development_foundation,stellar_community_fund,scf-28,"{""application_name"": ""WAVY by LINK"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recM5WNSe47TmTcfA"",""token_amount"": 843047.7,""token_unit"": ""XLM""}"
web3-antivirus-w3a-,50000.00,2024-07-10,stellar_development_foundation,stellar_community_fund,scf-28,"{""application_name"": ""Web3 Antivirus (W3A)"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/rec0b6xVABHxF2jRy"",""token_amount"": 572560.61,""token_unit"": ""XLM""}"
