to_project_name,amount,funding_date,from_funder_name,grant_name,grant_pool_name,metadata
php-anchor-sdk,58200.00,2024-03-20,stellar_development_foundation,stellar_community_fund,scf-24,"{""application_name"": ""PHP Anchor SDK"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recHnYfdhDsCAmDHf"",""token_amount"": 466669.65,""token_unit"": ""XLM""}"
alterscope,38400.00,2024-03-07,stellar_development_foundation,stellar_community_fund,scf-24,"{""application_name"": ""KYP - Risk Dashboard & Market"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recam5gal7vWgPt9A"",""token_amount"": 273949.14,""token_unit"": ""XLM""}"
js-worker-sdk,12500.00,2024-03-13,stellar_development_foundation,stellar_community_fund,scf-24,"{""application_name"": ""JS Worker SDK"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recaEiyFpgJEc9TN2"",""token_amount"": 87045.53,""token_unit"": ""XLM""}"
legacy-suite-on-stellar,49998.00,2024-03-05,stellar_development_foundation,stellar_community_fund,scf-24,"{""application_name"": ""Legacy Suite on Stellar"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recfvb645h7vv8HYG"",""token_amount"": 343175.77,""token_unit"": ""XLM""}"
satellite-we-work-out,75250.00,2024-03-28,stellar_development_foundation,stellar_community_fund,scf-24,"{""application_name"": ""Satellite + We Work Out"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recmo7OFBROky1vev"",""token_amount"": 547435.96,""token_unit"": ""XLM""}"
okashi,100000.00,2024-03-15,stellar_development_foundation,stellar_community_fund,scf-24,"{""application_name"": ""Okashi - Developer UX Upgrade"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recqsmOiASUgtmDrI"",""token_amount"": 747311.54,""token_unit"": ""XLM""}"
kwickbit-corp-defi-accounting,80000.00,2024-03-15,stellar_development_foundation,stellar_community_fund,scf-24,"{""application_name"": ""Kwickbit: Corp DeFi Accounting"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recrcyLc9CBiDZ8Ev"",""token_amount"": 597849.23,""token_unit"": ""XLM""}"
soroban-governor-dao,80000.00,2024-03-22,stellar_development_foundation,stellar_community_fund,scf-24,"{""application_name"": ""Soroban Governor"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recsEVEThwFT4tSNI"",""token_amount"": 624779.86,""token_unit"": ""XLM""}"
bitwave,50000.00,2024-03-07,stellar_development_foundation,stellar_community_fund,scf-24,"{""application_name"": ""Bitwave Stellar Integration"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recuqcat2t0W9ya9o"",""token_amount"": 356704.62,""token_unit"": ""XLM""}"
expand-network,47000.00,2024-03-07,stellar_development_foundation,stellar_community_fund,scf-24,"{""application_name"": ""Expand Stellar Integration"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recuWJCnqLfUFlLke"",""token_amount"": 335302.34,""token_unit"": ""XLM""}"
