to_project_name,amount,funding_date,from_funder_name,grant_pool_name,metadata
pendle-finance,3500000.0,2023-12-01,arbitrum_foundation,stip-1,"{""application_name"": ""Pendle"", ""application_url"": ""https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/"", ""token_amount"": 2000000.0, ""token_unit"": ""ARB""}"
premiafinance,1575000.0,2023-12-01,arbitrum_foundation,stip-1,"{""application_name"": ""Premia"", ""application_url"": ""https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/"", ""token_amount"": 900000.0, ""token_unit"": ""ARB""}"
rabbithole,1750000.0,2023-12-01,arbitrum_foundation,stip-1,"{""application_name"": ""RabbitHole"", ""application_url"": ""https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/"", ""token_amount"": 1000000.0, ""token_unit"": ""ARB""}"
radiant-capital,4991077.0,2023-12-01,arbitrum_foundation,stip-1,"{""application_name"": ""Radiant"", ""application_url"": ""https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/"", ""token_amount"": 2852044.0, ""token_unit"": ""ARB""}"
ramsesexchange,434000.0,2023-12-01,arbitrum_foundation,stip-1,"{""application_name"": ""Ramses"", ""application_url"": ""https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/"", ""token_amount"": 248000.0, ""token_unit"": ""ARB""}"
rodeofi,437500.0,2023-12-01,arbitrum_foundation,stip-1,"{""application_name"": ""Rodeo Finance"", ""application_url"": ""https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/"", ""token_amount"": 250000.0, ""token_unit"": ""ARB""}"
rysk-finance,875000.0,2023-12-01,arbitrum_foundation,stip-1,"{""application_name"": ""Rysk"", ""application_url"": ""https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/"", ""token_amount"": 500000.0, ""token_unit"": ""ARB""}"
savvy-finance,350000.0,2023-12-01,arbitrum_foundation,stip-1,"{""application_name"": ""Savvy"", ""application_url"": ""https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/"", ""token_amount"": 200000.0, ""token_unit"": ""ARB""}"
silo-finance,1750000.0,2023-12-01,arbitrum_foundation,stip-1,"{""application_name"": ""Silo"", ""application_url"": ""https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/"", ""token_amount"": 1000000.0, ""token_unit"": ""ARB""}"
socket,1750000.0,2023-12-01,arbitrum_foundation,stip-1,"{""application_name"": ""Socket Protocol"", ""application_url"": ""https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/"", ""token_amount"": 1000000.0, ""token_unit"": ""ARB""}"
solv-finance,87500.0,2023-12-01,arbitrum_foundation,stip-1,"{""application_name"": ""Solv Protocol"", ""application_url"": ""https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/"", ""token_amount"": 50000.0, ""token_unit"": ""ARB""}"
stakedao,350000.0,2023-12-01,arbitrum_foundation,stip-1,"{""application_name"": ""StakeDAO"", ""application_url"": ""https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/"", ""token_amount"": 200000.0, ""token_unit"": ""ARB""}"
stargate-finance,3500000.0,2023-12-01,arbitrum_foundation,stip-1,"{""application_name"": ""Stargate Finance"", ""application_url"": ""https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/"", ""token_amount"": 2000000.0, ""token_unit"": ""ARB""}"
stellaxyz,325500.0,2023-12-01,arbitrum_foundation,stip-1,"{""application_name"": ""Stella"", ""application_url"": ""https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/"", ""token_amount"": 186000.0, ""token_unit"": ""ARB""}"
