,oso_slug,project_name,project_id,project_url,project_address,funder_name,funder_round_name,funder_round_type,funder_address,funding_amount,funding_currency,funding_network,funding_date
20143,radiant-capital,Radiant,,https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/,,Arbitrum Foundation,STIP-1,growth,,2852044.0,ARB,arbitrum,2023-12-01
20144,solv-finance,Solv Protocol,,https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/,,Arbitrum Foundation,STIP-1,growth,,50000.0,ARB,arbitrum,2023-12-01
20145,stargate-finance,Stargate Finance,,https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/,,Arbitrum Foundation,STIP-1,growth,,2000000.0,ARB,arbitrum,2023-12-01
20146,treasureproject,Realm,,https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/,,Arbitrum Foundation,STIP-1,growth,,300000.0,ARB,arbitrum,2023-12-01
20147,,Sanko,,https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/,,Arbitrum Foundation,STIP-1,growth,,500000.0,ARB,arbitrum,2023-12-01
20148,pendle-finance,Pendle,,https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/,,Arbitrum Foundation,STIP-1,growth,,2000000.0,ARB,arbitrum,2023-12-01
20149,mux-world,MUX Protocol,,https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/,,Arbitrum Foundation,STIP-1,growth,,6000000.0,ARB,arbitrum,2023-12-01
20150,rabbithole,RabbitHole,,https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/,,Arbitrum Foundation,STIP-1,growth,,1000000.0,ARB,arbitrum,2023-12-01
20151,gammastrategies,Gamma,,https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/,,Arbitrum Foundation,STIP-1,growth,,750000.0,ARB,arbitrum,2023-12-01
20152,withtally,Tally,,https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/,,Arbitrum Foundation,STIP-1,growth,,200000.0,ARB,arbitrum,2023-12-01
20153,rysk-finance,Rysk,,https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/,,Arbitrum Foundation,STIP-1,growth,,500000.0,ARB,arbitrum,2023-12-01
20154,notional-finance,Notional,,https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/,,Arbitrum Foundation,STIP-1,growth,,500000.0,ARB,arbitrum,2023-12-01
20155,magpiexyz,Magpie,,https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/,,Arbitrum Foundation,STIP-1,growth,,1250000.0,ARB,arbitrum,2023-12-01
