,oso_slug,project_name,project_id,project_url,project_address,funder_name,funder_round_name,funder_round_type,funder_address,funding_amount,funding_currency,funding_network,funding_date
20052,thales,Thales,,https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/,,Arbitrum Foundation,STIP-1,growth,,500000.0,ARB,arbitrum,2024-01-01
20053,premiafinance,Premia,,https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/,,Arbitrum Foundation,STIP-1,growth,,900000.0,ARB,arbitrum,2024-01-01
20054,camelotlabs,Camelot,,https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/,,Arbitrum Foundation,STIP-1,growth,,3090000.0,ARB,arbitrum,2024-01-01
20055,balancer,Balancer,,https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/,,Arbitrum Foundation,STIP-1,growth,,1200000.0,ARB,arbitrum,2024-01-01
20056,kyber-swap,KyberSwap,,https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/,,Arbitrum Foundation,STIP-1,growth,,1500000.0,ARB,arbitrum,2024-01-01
20057,timeswap-labs,Timeswap,,https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/,,Arbitrum Foundation,STIP-1,growth,,200000.0,ARB,arbitrum,2024-01-01
20058,ramsesexchange,Ramses,,https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/,,Arbitrum Foundation,STIP-1,growth,,248000.0,ARB,arbitrum,2024-01-01
20059,rodeofi,Rodeo Finance,,https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/,,Arbitrum Foundation,STIP-1,growth,,250000.0,ARB,arbitrum,2024-01-01
20060,goodentry-io,GoodEntry,,https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/,,Arbitrum Foundation,STIP-1,growth,,200000.0,ARB,arbitrum,2024-01-01
20061,dopex-io,Dopex,,https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/,,Arbitrum Foundation,STIP-1,growth,,1500000.0,ARB,arbitrum,2024-01-01
20062,umamidao,Umami Finance,,https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/,,Arbitrum Foundation,STIP-1,growth,,750000.0,ARB,arbitrum,2024-01-01
20063,traderjoe-xyz,Trader Joe,,https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/,,Arbitrum Foundation,STIP-1,growth,,1510000.0,ARB,arbitrum,2024-01-01
20064,defiedge,DefiEdge,,https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/,,Arbitrum Foundation,STIP-1,growth,,200000.0,ARB,arbitrum,2024-01-01
20065,savvy-finance,Savvy,,https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/,,Arbitrum Foundation,STIP-1,growth,,200000.0,ARB,arbitrum,2024-01-01
20066,velaexchange,Vela,,https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/,,Arbitrum Foundation,STIP-1,growth,,1000000.0,ARB,arbitrum,2024-01-01
20067,vertex-protocol,Vertex,,https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/,,Arbitrum Foundation,STIP-1,growth,,3000000.0,ARB,arbitrum,2024-01-01
20068,,Thetanuts Finance,,https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/,,Arbitrum Foundation,STIP-1,growth,,200000.0,ARB,arbitrum,2024-01-01
20069,gmx-io,GMX,,https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/,,Arbitrum Foundation,STIP-1,growth,,12000000.0,ARB,arbitrum,2024-01-01
20070,stakedao,StakeDAO,,https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/,,Arbitrum Foundation,STIP-1,growth,,200000.0,ARB,arbitrum,2024-01-01
20071,woonetwork,WOOFi,,https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/,,Arbitrum Foundation,STIP-1,growth,,1000000.0,ARB,arbitrum,2024-01-01
20072,cowri,Shell Protocol,,https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/,,Arbitrum Foundation,STIP-1,growth,,750000.0,ARB,arbitrum,2024-01-01
20073,lodestarfinance,Lodestar,,https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/,,Arbitrum Foundation,STIP-1,growth,,700000.0,ARB,arbitrum,2024-01-01
20074,fraxfinance,Frax Finance,,https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/,,Arbitrum Foundation,STIP-1,growth,,1500000.0,ARB,arbitrum,2024-01-01
20075,equilibria-xyz,Perennial,,https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/,,Arbitrum Foundation,STIP-1,growth,,750000.0,ARB,arbitrum,2024-01-01
20076,silo-finance,Silo,,https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/,,Arbitrum Foundation,STIP-1,growth,,1000000.0,ARB,arbitrum,2024-01-01
20077,winrprotocol,WINR,,https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/,,Arbitrum Foundation,STIP-1,growth,,500000.0,ARB,arbitrum,2024-01-01
20078,unsheth,unshETH,,https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/,,Arbitrum Foundation,STIP-1,growth,,375000.0,ARB,arbitrum,2024-01-01
20079,jojoexchange,Jojo Exchange,,https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/,,Arbitrum Foundation,STIP-1,growth,,200000.0,ARB,arbitrum,2024-01-01
20080,abracadabra,Abracadabra,,https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/,,Arbitrum Foundation,STIP-1,growth,,1500000.0,ARB,arbitrum,2024-01-01
20081,synapse,Synapse,,https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/,,Arbitrum Foundation,STIP-1,growth,,2000000.0,ARB,arbitrum,2024-01-01
20082,gainsnetwork,Gains Network,,https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/,,Arbitrum Foundation,STIP-1,growth,,4500000.0,ARB,arbitrum,2024-01-01
20083,stellaxyz,Stella,,https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/,,Arbitrum Foundation,STIP-1,growth,,186000.0,ARB,arbitrum,2024-01-01
20084,socket,Socket Protocol,,https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/,,Arbitrum Foundation,STIP-1,growth,,1000000.0,ARB,arbitrum,2024-01-01
20085,radiant-capital,Radiant,,https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/,,Arbitrum Foundation,STIP-1,growth,,2852044.0,ARB,arbitrum,2024-01-01
20086,solv-finance,Solv Protocol,,https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/,,Arbitrum Foundation,STIP-1,growth,,50000.0,ARB,arbitrum,2024-01-01
20087,stargate-finance,Stargate Finance,,https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/,,Arbitrum Foundation,STIP-1,growth,,2000000.0,ARB,arbitrum,2024-01-01
20088,treasureproject,Realm,,https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/,,Arbitrum Foundation,STIP-1,growth,,300000.0,ARB,arbitrum,2024-01-01
20089,,Sanko,,https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/,,Arbitrum Foundation,STIP-1,growth,,500000.0,ARB,arbitrum,2024-01-01
20090,pendle-finance,Pendle,,https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/,,Arbitrum Foundation,STIP-1,growth,,2000000.0,ARB,arbitrum,2024-01-01
20091,mux-world,MUX Protocol,,https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/,,Arbitrum Foundation,STIP-1,growth,,6000000.0,ARB,arbitrum,2024-01-01
20092,rabbithole,RabbitHole,,https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/,,Arbitrum Foundation,STIP-1,growth,,1000000.0,ARB,arbitrum,2024-01-01
20093,gammastrategies,Gamma,,https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/,,Arbitrum Foundation,STIP-1,growth,,750000.0,ARB,arbitrum,2024-01-01
20094,withtally,Tally,,https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/,,Arbitrum Foundation,STIP-1,growth,,200000.0,ARB,arbitrum,2024-01-01
20095,rysk-finance,Rysk,,https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/,,Arbitrum Foundation,STIP-1,growth,,500000.0,ARB,arbitrum,2024-01-01
