,oso_slug,project_name,project_id,project_url,project_address,funder_name,funder_round_name,funder_round_type,funder_address,funding_amount,funding_currency,funding_network,funding_date
18917,giveth,Giveth,,https://daodrops.io/,0x4d9339dd97db55e3b9bcbe65de39ff9c04d1c2cd,DAO Drops,Round 1,Retroactive,0xafe5f7a1d1c173b311047cdc93729013ad03de0c,18186.0,DAI,mainnet,2023-03-29
18918,,DeFi Library,,https://daodrops.io/,0x4e3d9399c28c724293dd545225ec843ac4c9e953,DAO Drops,Round 1,Retroactive,0xafe5f7a1d1c173b311047cdc93729013ad03de0c,14373.0,DAI,mainnet,2023-03-29
18919,ethers-io,ethers.js,,https://daodrops.io/,0x643aa0a61eadcc9cc202d1915d942d35d005400c,DAO Drops,Round 1,Retroactive,0xafe5f7a1d1c173b311047cdc93729013ad03de0c,11801.0,DAI,mainnet,2023-03-29
18920,metagame-metafam,Metagame,,https://daodrops.io/,0xb53b0255895c4f9e3a185e484e5b674bccfbc076,DAO Drops,Round 1,Retroactive,0xafe5f7a1d1c173b311047cdc93729013ad03de0c,11287.0,DAI,mainnet,2023-03-29
18921,rotki,Rotki,,https://daodrops.io/,0x9531c059098e3d194ff87febb587ab07b30b1306,DAO Drops,Round 1,Retroactive,0xafe5f7a1d1c173b311047cdc93729013ad03de0c,10863.0,DAI,mainnet,2023-03-29
18922,eth-limo,eth.limo,,https://daodrops.io/,0xb352bb4e2a4f27683435f153a259f1b207218b1b,DAO Drops,Round 1,Retroactive,0xafe5f7a1d1c173b311047cdc93729013ad03de0c,10530.0,DAI,mainnet,2023-03-29
18923,gooddollar,GoodDollar,,https://daodrops.io/,0xc9d09ba972b4eb6bb7347f2229fb6d50434ffca6,DAO Drops,Round 1,Retroactive,0xafe5f7a1d1c173b311047cdc93729013ad03de0c,9199.0,DAI,mainnet,2023-03-29
18924,l2planet,L2 Planet,,https://daodrops.io/,0x2d9d84f4d8a4254ea23fe18825193cbd1b21b749,DAO Drops,Round 1,Retroactive,0xafe5f7a1d1c173b311047cdc93729013ad03de0c,9078.0,DAI,mainnet,2023-03-29
18925,gashawk-corpus-io,GasHawk,,https://daodrops.io/,0x44f00c29a0b8514d017ac20fbdb0aa5078b860ce,DAO Drops,Round 1,Retroactive,0xafe5f7a1d1c173b311047cdc93729013ad03de0c,8654.0,DAI,mainnet,2023-03-29
18926,,LauNaMu,,https://daodrops.io/,0xa565ea02caef7d1b6b5b919f3fcf829647ed50dd,DAO Drops,Round 1,Retroactive,0xafe5f7a1d1c173b311047cdc93729013ad03de0c,7898.0,DAI,mainnet,2023-03-29
