to_project_name,amount,funding_date,from_funder_name,grant_name,grant_pool_name,metadata
lumenaut-pool,37844.32,2019-07-16,stellar,stellar_community_fund,scf-1,"{""application_name"": ""Lumenaut Pool"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recoN8vGUgyzU9MKv"",""token_amount"": 483282.67,""token_unit"": ""XLM""}"
astrograph,10050.82,2019-07-16,stellar,stellar_community_fund,scf-1,"{""application_name"": ""Astrograph — Explore the new horizons of Stellar network"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recpR7pkCjncJOfT3"",""token_amount"": 127659.57,""token_unit"": ""XLM""}"
equilibre-io,31377.49,2019-07-16,stellar,stellar_community_fund,scf-1,"{""application_name"": ""Equilibre.io ~ A Portfolio Balancer for Stellar"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recOfX9DBePHbRry1"",""token_amount"": 401215.81,""token_unit"": ""XLM""}"
stellarguard,53824.92,2019-07-16,stellar,stellar_community_fund,scf-1,"{""application_name"": ""StellarGuard - Security for your Stellar account"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recCm1a3tDKd0Whro"",""token_amount"": 683890.58,""token_unit"": ""XLM""}"
swplug,35717.93,2019-07-12,stellar,stellar_community_fund,scf-1,"{""application_name"": ""SWPLUG"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/rec8qIbuHeFZl2XVL"",""token_amount"": 364741.64,""token_unit"": ""XLM""}"
stellar-community-forum,21509.98,2019-07-16,stellar,stellar_community_fund,scf-1,"{""application_name"": ""Stellar Community Forum"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/receQ7xIMdPbzPK31"",""token_amount"": 273556.23,""token_unit"": ""XLM""}"
python-stellar-sdk,29860.59,2019-07-16,stellar,stellar_community_fund,scf-1,"{""application_name"": ""Stellar Python SDK"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/reciEJw932bi9fM5Y"",""token_amount"": 373860.18,""token_unit"": ""XLM""}"
timed-transactions-api,19994.09,2019-08-16,stellar,stellar_community_fund,scf-1,"{""application_name"": ""Timed Transactions API - Schedule payments on the Stellar network!"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recOamGIP0chX9mhu"",""token_amount"": 291793.31,""token_unit"": ""XLM""}"
