to_project_name,amount,funding_date,from_funder_name,grant_name,grant_pool_name,metadata
posted-solar,24000.0,2023-12-18,stellar,stellar_community_fund,scf-22,"{""application_name"": ""Posted"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recAJUif7d6m2q3J3"",""token_amount"": 201342.3,""token_unit"": ""XLM""}"
soroban-governor-dao,31300.0,2024-01-22,stellar,stellar_community_fund,scf-22,"{""application_name"": ""Soroban Governor DAO"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recB4ormy61AOrN5I"",""token_amount"": 276233.34,""token_unit"": ""XLM""}"
givecredit,33000.0,2024-01-22,stellar,stellar_community_fund,scf-22,"{""application_name"": ""GiveCredit"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recal7H9VYGzL17M0"",""token_amount"": 291236.43,""token_unit"": ""XLM""}"
meru,76840.0,2024-01-03,stellar,stellar_community_fund,scf-22,"{""application_name"": ""On-ramp thru US bank account"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recdQqHy4AR9ZBWyO"",""token_amount"": 636092.71,""token_unit"": ""XLM""}"
gecko-fuzz,30000.0,2023-12-19,stellar,stellar_community_fund,scf-22,"{""application_name"": ""Gecko Fuzz: Automated Fuzzing"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recgaYJqkY6XAjubP"",""token_amount"": 249521.7,""token_unit"": ""XLM""}"
encode-club,14999.0,2023-12-15,stellar,stellar_community_fund,scf-22,"{""application_name"": ""Encode Soroban/Stellar Educae"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/reckoIk9ZoZ7UbElb"",""token_amount"": 120251.7,""token_unit"": ""XLM""}"
coins-ph-stellar-remittances,50000.0,2024-01-11,stellar,stellar_community_fund,scf-22,"{""application_name"": ""Coins.ph: Stellar Remittances"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recnpsdfOyqPQpkUK"",""token_amount"": 402738.62,""token_unit"": ""XLM""}"
chef,18000.0,2023-12-15,stellar,stellar_community_fund,scf-22,"{""application_name"": ""Chef"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recskJRJnsD63Lg4G"",""token_amount"": 144311.7,""token_unit"": ""XLM""}"
php-anchor-sdk,36400.0,2023-12-15,stellar,stellar_community_fund,scf-22,"{""application_name"": ""PHP Anchor SDK"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/rect8pQfINu8Enmqh"",""token_amount"": 291830.4,""token_unit"": ""XLM""}"
ortege-ai,40000.0,2024-01-16,stellar,stellar_community_fund,scf-22,"{""application_name"": ""Ortege AI"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recJwxwdJWnSRqsDR"",""token_amount"": 338552.68,""token_unit"": ""XLM""}"
