to_project_name,amount,funding_date,from_funder_name,grant_name,grant_pool_name,metadata
governance-modules-library,74000.0,2024-05-15,stellar,stellar_community_fund,scf-26,"{""application_name"": ""Governance Modules Library"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/reczJIM2hVxOvI44M"",""token_amount"": 699204.89,""token_unit"": ""XLM""}"
expand-network,90000.0,2024-06-12,stellar,stellar_community_fund,scf-26,"{""application_name"": ""Expand Phase 2 Integration"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recCaiDDtiKwH9Dah"",""token_amount"": 920670.9,""token_unit"": ""XLM""}"
accelar,33000.0,2024-04-26,stellar,stellar_community_fund,scf-26,"{""application_name"": ""Accelar - Web3 Infrastructure"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recCMqF6lhiTo4ZeO"",""token_amount"": 290384.31,""token_unit"": ""XLM""}"
digicus,50000.0,2024-04-25,stellar,stellar_community_fund,scf-26,"{""application_name"": ""Digicus"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recF2pa0KGpGBfFBP"",""token_amount"": 442243.83,""token_unit"": ""XLM""}"
bingtellar,30000.0,2024-04-29,stellar,stellar_community_fund,scf-26,"{""application_name"": ""Bingtellar"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recG1A804BXcOc2ej"",""token_amount"": 270946.41,""token_unit"": ""XLM""}"
p-aid-payrolling,50000.0,2024-04-29,stellar,stellar_community_fund,scf-26,"{""application_name"": ""P’aid Payrolling"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/rec85TDjqVvWzY6oR"",""token_amount"": 451577.35,""token_unit"": ""XLM""}"
solo-labs,50000.0,2024-04-29,stellar,stellar_community_fund,scf-26,"{""application_name"": ""Solo Labs Automated Liquidity"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/rec9s1IHbpcWxvlX6"",""token_amount"": 451577.35,""token_unit"": ""XLM""}"
alterscope,99200.0,2024-05-16,stellar,stellar_community_fund,scf-26,"{""application_name"": ""KYP - Risk Dashboard (Phase 2)"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/rec9bGg7CKnZUW3tG"",""token_amount"": 937312.5,""token_unit"": ""XLM""}"
art-club,40000.0,2024-04-19,stellar,stellar_community_fund,scf-26,"{""application_name"": ""ART Club: Meaningful Utility"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/rec9eqtn0a4eB7iGq"",""token_amount"": 356890.8,""token_unit"": ""XLM""}"
ortege-ai,100000.0,2024-05-21,stellar,stellar_community_fund,scf-26,"{""application_name"": ""Ortege AI"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recc4FsstdaSNXXvm"",""token_amount"": 882031,""token_unit"": ""XLM""}"
equitx,45300.0,2024-04-25,stellar,stellar_community_fund,scf-26,"{""application_name"": ""EquitX: Invest in Small Caps"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recgGcVWMy7qp8CAd"",""token_amount"": 400672.91,""token_unit"": ""XLM""}"
nirvana-labs,36000.0,2024-05-16,stellar,stellar_community_fund,scf-26,"{""application_name"": ""Nirvana Labs: Public RPC"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recqThJyLtDUGD1x2"",""token_amount"": 340153.73,""token_unit"": ""XLM""}"
infstones,50000.0,2024-04-29,stellar,stellar_community_fund,scf-26,"{""application_name"": ""Horizon & Soroban API"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/rectOzAPw9WZwU8ec"",""token_amount"": 451577.35,""token_unit"": ""XLM""}"
icanproveit-proof-of-learning,50000.0,2024-05-03,stellar,stellar_community_fund,scf-26,"{""application_name"": ""ICanProveIt -Proof-of-Learning"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/rectVXjaidotlGe5e"",""token_amount"": 451015.64,""token_unit"": ""XLM""}"
almanax,50000.0,2024-05-03,stellar,stellar_community_fund,scf-26,"{""application_name"": ""Almanax"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recuBabEIY10zr9A5"",""token_amount"": 451015.64,""token_unit"": ""XLM""}"
mimoto,30000.0,2024-05-03,stellar,stellar_community_fund,scf-26,"{""application_name"": ""Mimoto: ZKP for Payments"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recvAM8g3CmmFQM1p"",""token_amount"": 270609.38,""token_unit"": ""XLM""}"
hypernative,50000.0,2024-05-03,stellar,stellar_community_fund,scf-26,"{""application_name"": ""Hypernative Web3 Security"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recwaqts19fQ3ZIU3"",""token_amount"": 451015.64,""token_unit"": ""XLM""}"
onboarding-club,90000.0,2024-05-09,stellar,stellar_community_fund,scf-26,"{""application_name"": ""Onboarding.club"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recxmriAgwEaO7GwF"",""token_amount"": 845249.79,""token_unit"": ""XLM""}"
lumen-loop,29320.0,2024-04-24,stellar,stellar_community_fund,scf-26,"{""application_name"": ""Lumen Loop"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recIejuRkvbm4kZSv"",""token_amount"": 250474.12,""token_unit"": ""XLM""}"
clickpesa-debt-fund,30000.0,2024-05-03,stellar,stellar_community_fund,scf-26,"{""application_name"": ""Making DeFi finance work"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recLlGrfUZ3BXOFcw"",""token_amount"": 270609.38,""token_unit"": ""XLM""}"
komunitin,44850.0,2024-05-03,stellar,stellar_community_fund,scf-26,"{""application_name"": ""Komunitin"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recNOhqg2m5UV2Eb8"",""token_amount"": 404561.03,""token_unit"": ""XLM""}"
