to_project_name,amount,funding_date,from_funder_name,grant_name,grant_pool_name,metadata
kript,35000.00,2024-06-06,stellar,stellar_community_fund,scf-27,"{""application_name"": ""Kript -Crypto checkouts"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recBZAaKA8fjdstQa"",""token_amount"": 328949.84,""token_unit"": ""XLM""}"
plutope-merchant-app,33400.00,2024-06-06,stellar,stellar_community_fund,scf-27,"{""application_name"": ""Plutope Merchant App"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recBM684vOLrr3TnL"",""token_amount"": 313912.14,""token_unit"": ""XLM""}"
nauta-land,40000.00,2024-05-31,stellar,stellar_community_fund,scf-27,"{""application_name"": ""NAUTA (P2P) SECONDARY MARKET"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recClpF9C92a0bLMd"",""token_amount"": 378845.28,""token_unit"": ""XLM""}"
orally-network,48000.00,2024-05-24,stellar,stellar_community_fund,scf-27,"{""application_name"": ""Orally Network"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recCLcdUOLt2AvNHe"",""token_amount"": 437446.12,""token_unit"": ""XLM""}"
js-worker-sdk,35000.00,2024-06-10,stellar,stellar_community_fund,scf-27,"{""application_name"": ""JS Worker SDK"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recCOibVGJQ9sVgan"",""token_amount"": 348786.92,""token_unit"": ""XLM""}"
raumfi-dex-by-raum-network,50000.00,2024-05-30,stellar,stellar_community_fund,scf-27,"{""application_name"": ""RaumFi DEX by Raum Network"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recE9g5g3dHHxuMjq"",""token_amount"": 469627.32,""token_unit"": ""XLM""}"
rehoboth-finance,23300.00,2024-05-24,stellar,stellar_community_fund,scf-27,"{""application_name"": ""Rehoboth Finance"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recHJGfP4QX8paLWp"",""token_amount"": 212343.64,""token_unit"": ""XLM""}"
institutional-treasury-xlm,32000.00,2024-07-09,stellar,stellar_community_fund,scf-27,"{""application_name"": ""Institutional Treasury - XLM"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recb03CISF3JCSdeW"",""token_amount"": 366438.79,""token_unit"": ""XLM""}"
grantpicks-by-potlock,50000.00,2024-06-11,stellar,stellar_community_fund,scf-27,"{""application_name"": ""GrantPicks by PotLock"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recd8I7PUKkkPIO6d"",""token_amount"": 514731.62,""token_unit"": ""XLM""}"
soroban-polygon-interop,42755.00,2024-06-04,stellar,stellar_community_fund,scf-27,"{""application_name"": ""Soroban  Polygon - Interop"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recgndGyFwfROKd6B"",""token_amount"": 405140.47,""token_unit"": ""XLM""}"
scout,90000.00,2024-06-05,stellar,stellar_community_fund,scf-27,"{""application_name"": ""Scout - BugFighter for Soroban"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/reckierHxbkwUbx3s"",""token_amount"": 843926.96,""token_unit"": ""XLM""}"
soroban-timelock-contract,24000.00,2024-07-09,stellar,stellar_community_fund,scf-27,"{""application_name"": ""Soroban Timelock Contract"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/reclhILl81OAe3spU"",""token_amount"": 274829.09,""token_unit"": ""XLM""}"
aquarius,50000.00,2024-06-03,stellar,stellar_community_fund,scf-27,"{""application_name"": ""Aquarius Soroban Yield Bridge"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recn8gHxphN9KtVXj"",""token_amount"": 469905.38,""token_unit"": ""XLM""}"
alternun,32000.00,2024-06-04,stellar,stellar_community_fund,scf-27,"{""application_name"": ""ALTERNUN"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recrYzhVM2zgQ76oy"",""token_amount"": 303227.57,""token_unit"": ""XLM""}"
huma,0.00,,stellar,stellar_community_fund,scf-27,"{""application_name"": ""Huma Protocol Smart Contract"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/rectN6ErZmODHk69p"",""token_amount"": 0,""token_unit"": ""XLM""}"
infrastructure-support-liquify,12500.00,2024-06-10,stellar,stellar_community_fund,scf-27,"{""application_name"": ""Infrastructure Support Liquify"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recwmnjnzr62St3sf"",""token_amount"": 124566.76,""token_unit"": ""XLM""}"
securx-medical-prescriptions,42400.00,2024-06-04,stellar,stellar_community_fund,scf-27,"{""application_name"": ""SecuRx - Medical Prescriptions"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recwS9b2xRCHdnssZ"",""token_amount"": 401776.54,""token_unit"": ""XLM""}"
chaincred,32000.00,2024-06-04,stellar,stellar_community_fund,scf-27,"{""application_name"": ""ChainCred"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recP4mLvsBD60bfIv"",""token_amount"": 303227.57,""token_unit"": ""XLM""}"
bitgifty,35200.00,2024-05-30,stellar,stellar_community_fund,scf-27,"{""application_name"": ""BitGifty"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recUleqROhGvokHEf"",""token_amount"": 330617.64,""token_unit"": ""XLM""}"
rise-in,50000.00,2024-06-03,stellar,stellar_community_fund,scf-27,"{""application_name"": ""Rise In - Developer Education"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recUFeDBhzepKJ0JI"",""token_amount"": 469905.38,""token_unit"": ""XLM""}"
b4b,40000.00,2024-06-11,stellar,stellar_community_fund,scf-27,"{""application_name"": ""B4B - Influencer/KOLs protocol"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recUJPxEC1NhY3hU8"",""token_amount"": 411785.3,""token_unit"": ""XLM""}"
formal-verso,99875.00,2024-05-31,stellar,stellar_community_fund,scf-27,"{""application_name"": ""Formal VerSo - Phase 3"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recWlKfh0BaVkHuXD"",""token_amount"": 945929.31,""token_unit"": ""XLM""}"
soroban-dappradar-integration,50000.00,2024-06-10,stellar,stellar_community_fund,scf-27,"{""application_name"": ""Soroban DappRadar integration"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recWPirIc6IP4v27v"",""token_amount"": 498267.03,""token_unit"": ""XLM""}"
php-anchor-sdk,58000.00,2024-06-10,stellar,stellar_community_fund,scf-27,"{""application_name"": ""PHP Anchor SDK"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recYidv6nP5tSv03Z"",""token_amount"": 577989.75,""token_unit"": ""XLM""}"
kura-for-cross-border-payments,27300.00,2024-06-05,stellar,stellar_community_fund,scf-27,"{""application_name"": ""Kura for cross-border payments"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recZgZOpwThqNmkmm"",""token_amount"": 255991.18,""token_unit"": ""XLM""}"
metafyed,50000.00,2024-08-05,stellar,stellar_community_fund,scf-27,"{""application_name"": ""Metafyed - RWA marketplace"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/rec0OaOoRwjfSdS58"",""token_amount"": 589162.7,""token_unit"": ""XLM""}"
bondhive-onchain-fixed-deposit,40000.00,2024-05-30,stellar,stellar_community_fund,scf-27,"{""application_name"": ""BondHive:OnChain Fixed Deposit"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/rec1ukEnQRTCfaoHw"",""token_amount"": 375701.86,""token_unit"": ""XLM""}"
0xauth,45000.00,2024-05-30,stellar,stellar_community_fund,scf-27,"{""application_name"": ""0xAuth"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/rec2UJLCx1DBLgdm4"",""token_amount"": 422664.59,""token_unit"": ""XLM""}"
dapp-world,14000.00,2024-05-30,stellar,stellar_community_fund,scf-27,"{""application_name"": ""Comprehensive Stellar Track"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/rec5XtNfCR7Fg86mE"",""token_amount"": 131495.65,""token_unit"": ""XLM""}"
-wadzzo-explore-collect-win-,5000.00,2024-06-06,stellar,stellar_community_fund,scf-27,"{""application_name"": ""Wadzzo - Explore, Collect, Win"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/rec9df0gMcvT7weQ2"",""token_amount"": 46992.83,""token_unit"": ""XLM""}"
study-stellar-sdk-soroban,15000.00,2024-05-31,stellar,stellar_community_fund,scf-27,"{""application_name"": ""Study @stellar-sdk & Soroban"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recuzSoiOe8Bm6FIV"",""token_amount"": 142066.98,""token_unit"": ""XLM""}"
stellar-talent-platform,41000.00,2024-05-30,stellar,stellar_community_fund,scf-27,"{""application_name"": ""Stellar Talent Platform"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recLvmSw4cVbIKjHx"",""token_amount"": 385094.4,""token_unit"": ""XLM""}"
