to_project_name,amount,funding_date,from_funder_name,grant_name,grant_pool_name,metadata
cryptocannoneer,5000.00,2021-09-29,stellar,stellar_community_fund,scf-8,"{""application_name"": ""CryptoCannoneer"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recgqIwRqnhPG0BD7"",""token_amount"": 18241.5,""token_unit"": ""XLM""}"
cryptocannoneer,15000.00,2021-09-29,stellar,stellar_community_fund,scf-8,"{""application_name"": ""CryptoCannoneer Coin Carnival"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recldMd7LbhGVEOB5"",""token_amount"": 54724.5,""token_unit"": ""XLM""}"
ebioro,239164.32,2021-09-30,stellar,stellar_community_fund,scf-8,"{""application_name"": ""OrunPay"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recsWgGMe0r36Gza0"",""token_amount"": 863783.29,""token_unit"": ""XLM""}"
instantdao,50000.00,2021-09-30,stellar,stellar_community_fund,scf-8,"{""application_name"": ""InstantDao"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recxPZW5xXAdnBNSq"",""token_amount"": 182415.18,""token_unit"": ""XLM""}"
fijicoin,53569.87,2021-10-01,stellar,stellar_community_fund,scf-8,"{""application_name"": ""FijiCoin"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recSS7NnNEi1Fa3eM"",""token_amount"": 182415.18,""token_unit"": ""XLM""}"
stellar-php-sdk,225000.00,2021-09-29,stellar,stellar_community_fund,scf-8,"{""application_name"": ""Stellar PHP SDK"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recEdENntL5PSd0GS"",""token_amount"": 820868.3,""token_unit"": ""XLM""}"
wally,4800.00,2021-09-29,stellar,stellar_community_fund,scf-8,"{""application_name"": ""Wally"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recGobXzcpx41BHmA"",""token_amount"": 17511.86,""token_unit"": ""XLM""}"
tellus-cooperative,29500.00,2021-09-29,stellar,stellar_community_fund,scf-8,"{""application_name"": ""Tellus Cooperative"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recNO4RNaF9ack4Kq"",""token_amount"": 107624.95,""token_unit"": ""XLM""}"
