to_project_name,amount,funding_date,from_funder_name,grant_name,grant_pool_name,metadata
soroban-cli-cross-platform-gui,20000.0,2023-12-12,stellar,stellar_community_fund,scf-21,"{""application_name"": ""Soroban CLI Cross Platform GUI"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recyYpWQohtWKIKZ8"",""token_amount"": 162390.4,""token_unit"": ""XLM""}"
localcoin,40875.0,2023-12-05,stellar,stellar_community_fund,scf-21,"{""application_name"": ""LocalCoin"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recBuWuli95RQarWV"",""token_amount"": 339293.6,""token_unit"": ""XLM""}"
beans-app,73780.0,2023-12-06,stellar,stellar_community_fund,scf-21,"{""application_name"": ""Beans app"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recCm6EsKKmPbx6ow"",""token_amount"": 590815.7,""token_unit"": ""XLM""}"
fluxity,100000.0,2024-01-17,stellar,stellar_community_fund,scf-21,"{""application_name"": ""WAgent"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/rec0QYw0K1U0wTGlU"",""token_amount"": 831808.4,""token_unit"": ""XLM""}"
keizai,47300.0,2023-12-05,stellar,stellar_community_fund,scf-21,"{""application_name"": ""Keizai"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recFhanAqcbR56Bv8"",""token_amount"": 356932.7,""token_unit"": ""XLM""}"
idunu-help-kids-thrive,15000.0,2023-12-12,stellar,stellar_community_fund,scf-21,"{""application_name"": ""IDUNU: Help Kids Thrive"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/rec8hQ6VSQ4036a93"",""token_amount"": 121792.8,""token_unit"": ""XLM""}"
orbitcdp,33000.0,2024-01-30,stellar,stellar_community_fund,scf-21,"{""application_name"": ""OrbitCDP: CDPs on Stellar "",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recb8O4gXWaS4RsaM"",""token_amount"": 287256.26,""token_unit"": ""XLM""}"
slender,97500.0,2023-12-14,stellar,stellar_community_fund,scf-21,"{""application_name"": ""Slender Lending protocol"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recg1FCAdn5g38z6k"",""token_amount"": 782001.9,""token_unit"": ""XLM""}"
planet-pay,96000.0,2023-12-08,stellar,stellar_community_fund,scf-21,"{""application_name"": ""Planet Pay (ex-Stellar Flow)"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/reckrr0bqgDyL0AX8"",""token_amount"": 734281.8,""token_unit"": ""XLM""}"
onboarding-club,31000.0,2023-11-15,stellar,stellar_community_fund,scf-21,"{""application_name"": ""Onboarding.club"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/reclZen7CJQgQeWDH"",""token_amount"": 258397.9,""token_unit"": ""XLM""}"
lumosdao,60000.0,2023-11-29,stellar,stellar_community_fund,scf-21,"{""application_name"": ""LumosDAO"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recoH3wbnTFB9AYpG"",""token_amount"": 507312.99,""token_unit"": ""XLM""}"
cashabroad,60000.0,2023-12-05,stellar,stellar_community_fund,scf-21,"{""application_name"": ""CashAbroad Letter of Credit"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recr6JGgzX8IHBgA5"",""token_amount"": 498045.6,""token_unit"": ""XLM""}"
nauta-land,82867.4,2023-12-12,stellar,stellar_community_fund,scf-21,"{""application_name"": ""Nauta Land"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/rectnpnWufE42Gm1r"",""token_amount"": 676725.55,""token_unit"": ""XLM""}"
reclaimprotocol,50000.0,2023-11-27,stellar,stellar_community_fund,scf-21,"{""application_name"": ""Reclaim Protocol"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recIJqhn2HhQ0tIFu"",""token_amount"": 431965.4,""token_unit"": ""XLM""}"
pakana-net,45200.0,2023-11-15,stellar,stellar_community_fund,scf-21,"{""application_name"": ""Pakana.net Activation"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recR32JiVTfXBDnke"",""token_amount"": 376760.9,""token_unit"": ""XLM""}"
