to_project_name,amount,funding_date,from_funder_name,grant_name,grant_pool_name,metadata
city-states-medieval,22284.91,2019-10-29,stellar,stellar_community_fund,scf-2,"{""application_name"": ""City States: Medieval"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/rec91ZpPLUGNsfPSw"",""token_amount"": 338463,""token_unit"": ""XLM""}"
centaurus,32409.68,2019-10-29,stellar,stellar_community_fund,scf-2,"{""application_name"": ""Centaurus - second layer payment network, exchange, and scaling solution"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recg4KmfUXrrNOHbG"",""token_amount"": 492306,""token_unit"": ""XLM""}"
ultra-stellar-lobstr,35462.64,2019-10-29,stellar,stellar_community_fund,scf-2,"{""application_name"": ""LOBSTR"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/reckAPLIsrEDIE0Zb"",""token_amount"": 538458,""token_unit"": ""XLM""}"
getblockcard-com,28114.73,2019-10-29,stellar,stellar_community_fund,scf-2,"{""application_name"": ""GetBlockCard.com - Use XLM where VISA is accepted (50 million merchants)"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recTEBVyna1Qu0sly"",""token_amount"": 426924,""token_unit"": ""XLM""}"
astrocore,14470.61,2019-10-29,stellar,stellar_community_fund,scf-2,"{""application_name"": ""Astrocore — rusted Stellar-core"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recZlfegu12ecDh0e"",""token_amount"": 219231,""token_unit"": ""XLM""}"
stellarport,19747.51,2019-10-29,stellar,stellar_community_fund,scf-2,"{""application_name"": ""Stellarport - Stellar Wallet, DEX & Anchor"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recpMYd0rjGNLniyz"",""token_amount"": 300000,""token_unit"": ""XLM""}"
stellarpay,17469.04,2019-10-29,stellar,stellar_community_fund,scf-2,"{""application_name"": ""StellarPay - Shopify Merchants Can Now Accept Stellar Payments"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recNRH9HXfzuEZIjZ"",""token_amount"": 265386,""token_unit"": ""XLM""}"
stellarauth,27608.18,2019-10-29,stellar,stellar_community_fund,scf-2,"{""application_name"": ""StellarAuth • The best way to integrate Stellar into your apps"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recUupl1g4dKZ18Fq"",""token_amount"": 419232,""token_unit"": ""XLM""}"
