to_project_name,amount,funding_date,from_funder_name,grant_name,grant_pool_name,metadata
cosmic-vote,17947.28,2020-08-18,stellar,stellar_community_fund,scf-5,"{""application_name"": ""Cosmic.vote ~ Working Toward Decentralized Organizations "",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recFHsO8eBVbiOIAg"",""token_amount"": 166007.91,""token_unit"": ""XLM""}"
rigel,14101.43,2020-08-18,stellar,stellar_community_fund,scf-5,"{""application_name"": ""Rigel - Monetize Links for Payments and Donations in Seconds Stellar"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recHn7buQXsekeDpI"",""token_amount"": 130434.78,""token_unit"": ""XLM""}"
free-voting-platform-,48714.05,2020-08-18,stellar,stellar_community_fund,scf-5,"{""application_name"": ""Free Voting Platform "",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recd1qeJidXyA4Lpm"",""token_amount"": 450592.89,""token_unit"": ""XLM""}"
opensolar,24357.02,2020-08-18,stellar,stellar_community_fund,scf-5,"{""application_name"": ""OpenSolar: Securitized project financing powered by Stellar"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recei4RC1NYovsqZi"",""token_amount"": 225296.44,""token_unit"": ""XLM""}"
lettuce,48714.05,2020-08-18,stellar,stellar_community_fund,scf-5,"{""application_name"": ""Lettuce: Stellar-based point of sale (POS) Application "",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recVosDQk5KM5Vj7Y"",""token_amount"": 450592.89,""token_unit"": ""XLM""}"
mxlet,19229.23,2020-08-18,stellar,stellar_community_fund,scf-5,"{""application_name"": ""MXlet - Open Stellar Hardware Wallet "",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/rec5yVPK5GlSQgpOG"",""token_amount"": 177865.61,""token_unit"": ""XLM""}"
stellarmint,51277.94,2020-08-18,stellar,stellar_community_fund,scf-5,"{""application_name"": ""Stellarmint"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recqwxZuu8Ox6MgqP"",""token_amount"": 474308.3,""token_unit"": ""XLM""}"
the-interstellar-platform,44868.20,2020-08-18,stellar,stellar_community_fund,scf-5,"{""application_name"": ""The Interstellar Platform"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recxPA89AEpKyJpcP"",""token_amount"": 415019.76,""token_unit"": ""XLM""}"
stellar-update,56319.82,2020-08-24,stellar,stellar_community_fund,scf-5,"{""application_name"": ""Stellar Update - Dedicated Blog about everything Stellar"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recZNvq8ujTrxpxgJ"",""token_amount"": 545454.55,""token_unit"": ""XLM""}"
