to_project_name,amount,funding_date,from_funder_name,grant_name,grant_pool_name,metadata
mica,138700.0,2023-07-05,stellar,stellar_community_fund,scf-16,"{""application_name"": ""Mica"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recdcC4akBWPOdMsS"",""token_amount"": 1347228.91,""token_unit"": ""XLM""}"
dogstar,64202.5,2023-07-06,stellar,stellar_community_fund,scf-16,"{""application_name"": ""Dogstar"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recmn1pHr7N7jqA9D"",""token_amount"": 653944.28,""token_unit"": ""XLM""}"
soroban-learn,54000.0,2023-06-30,stellar,stellar_community_fund,scf-16,"{""application_name"": ""Soroban Learn"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recovwoOp8xxFpkfq"",""token_amount"": 53938.28,""token_unit"": ""XLM""}"
smart-deploy,79900.0,2023-07-07,stellar,stellar_community_fund,scf-16,"{""application_name"": ""Smart Deploy"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recs6MedZFNwjZzRh"",""token_amount"": 79908.08,""token_unit"": ""XLM""}"
paychant,50000.0,2023-06-29,stellar,stellar_community_fund,scf-16,"{""application_name"": ""Paychant"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recu3dRuCQUZY1U4Y"",""token_amount"": 499747.86,""token_unit"": ""XLM""}"
mykobo,119900.0,2023-06-29,stellar,stellar_community_fund,scf-16,"{""application_name"": ""EURC Soroban"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recwvs3ECinXmR2dF"",""token_amount"": 1194683.74,""token_unit"": ""XLM""}"
pactta-api,120700.0,2023-06-30,stellar,stellar_community_fund,scf-16,"{""application_name"": ""Pactta API"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recwe0UWBi0QuT5SH"",""token_amount"": 1142327.44,""token_unit"": ""XLM""}"
did-stellar,117100.0,2023-06-29,stellar,stellar_community_fund,scf-16,"{""application_name"": ""DID:STELLAR"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recxXHFIFQhxfnIVp"",""token_amount"": 2171862.18,""token_unit"": ""XLM""}"
communidao,69600.0,2023-07-07,stellar,stellar_community_fund,scf-16,"{""application_name"": ""CommuniDAO - The Stellar Discord Dao Bot"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recxH0eXulsk9NUBp"",""token_amount"": 69607.04,""token_unit"": ""XLM""}"
band-protocol,60000.0,2024-03-05,stellar,stellar_community_fund,scf-16,"{""application_name"": ""Band Protocol Oracle Solution"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recItGzRXb0jGGtzx"",""token_amount"": 438174.2,""token_unit"": ""XLM""}"
lightecho-stellar-oracle,93110.0,2023-06-28,stellar,stellar_community_fund,scf-16,"{""application_name"": ""Lightecho Stellar Oracle"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recLl0Y8hNXWZttmc"",""token_amount"": 916205.75,""token_unit"": ""XLM""}"
phoenix,150000.0,2023-06-30,stellar,stellar_community_fund,scf-16,"{""application_name"": ""Phoenix ($PHO)"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recLOzDpEMgJWDbTe"",""token_amount"": 1413787.58,""token_unit"": ""XLM""}"
airswift,150000.0,2023-07-05,stellar,stellar_community_fund,scf-16,"{""application_name"": ""Airswift Supply Chain Finance Platform"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recX7oeV1IsHlgDy5"",""token_amount"": 1456988.73,""token_unit"": ""XLM""}"
infinity-wallet,130000.0,2023-07-06,stellar,stellar_community_fund,scf-16,"{""application_name"": ""Infinity Wallet"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/rec19YyUKPo2XVINi"",""token_amount"": 1340975.08,""token_unit"": ""XLM""}"
sorobanpulse,41000.0,2023-06-28,stellar,stellar_community_fund,scf-16,"{""application_name"": ""SorobanPulse"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/reccKirUoWW2ux0Le"",""token_amount"": 407660.67,""token_unit"": ""XLM""}"
unalivio,82390.0,2023-10-05,stellar,stellar_community_fund,scf-16,"{""application_name"": ""Unalivio Stablecoin payouts"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recf9SxVKM35hZWQj"",""token_amount"": 763947.4,""token_unit"": ""XLM""}"
sstream,36000.0,2023-06-28,stellar,stellar_community_fund,scf-16,"{""application_name"": ""SStream"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recnfJhEt3t2QogUI"",""token_amount"": 354241.29,""token_unit"": ""XLM""}"
gateway-fm,150000.0,2023-06-28,stellar,stellar_community_fund,scf-16,"{""application_name"": ""Stellar/Soroban Public RPC infrastructure from Gateway.fm"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recw85qJRueeg4l6d"",""token_amount"": 1476005.39,""token_unit"": ""XLM""}"
sorosorcerer-com,40000.0,2023-07-05,stellar,stellar_community_fund,scf-16,"{""application_name"": ""sorosorcerer.com"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recMrJRtoPBpXYIMY"",""token_amount"": 388530.32,""token_unit"": ""XLM""}"
