to_project_name,amount,funding_date,from_funder_name,grant_name,grant_pool_name,metadata
scalps,30600.0,2023-06-27,stellar,stellar_community_fund,scf-18,"{""application_name"": ""Scalps"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recFle2Dv0grIDayf"",""token_amount"": 62924.12,""token_unit"": ""XLM""}"
ortege-ai,11200.0,2023-09-11,stellar,stellar_community_fund,scf-18,"{""application_name"": ""Ortege"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/rec9DwGpGqqgxK4I4"",""token_amount"": 88684.77,""token_unit"": ""XLM""}"
hiyield,150000.0,2023-07-27,stellar,stellar_community_fund,scf-18,"{""application_name"": ""HiYield"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recjwQ8Ebg6OIV4BT"",""token_amount"": 186439.62,""token_unit"": ""XLM""}"
assemblyscript-soroban-sdk,41860.0,2023-08-31,stellar,stellar_community_fund,scf-18,"{""application_name"": ""AS Soroban SDK"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/rect2OQxgI4OYMgTd"",""token_amount"": 350380.84,""token_unit"": ""XLM""}"
kometpay,136294.0,2023-08-31,stellar,stellar_community_fund,scf-18,"{""application_name"": ""KometPay"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recI9BE8VwhuHqyBp"",""token_amount"": 1140821.96,""token_unit"": ""XLM""}"
comet,141000.0,2023-09-06,stellar,stellar_community_fund,scf-18,"{""application_name"": ""Comet - Weighted Pool AMM"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recIRbsKDA1ayFXCF"",""token_amount"": 1183978.5,""token_unit"": ""XLM""}"
blaze,90000.0,2023-07-27,stellar,stellar_community_fund,scf-18,"{""application_name"": ""Blaze"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recQVkzclAdYosQ1y"",""token_amount"": 111863.76,""token_unit"": ""XLM""}"
blockeden-xyz,139999.0,2023-08-04,stellar,stellar_community_fund,scf-18,"{""application_name"": ""BlockEden.xyz Stellar Soroban Indexer"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recR2IbUJQTFDHKpA"",""token_amount"": 199060.14,""token_unit"": ""XLM""}"
ottersec,137500.0,2023-07-27,stellar,stellar_community_fund,scf-18,"{""application_name"": ""OtterSec"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recUtPJPaKlIhvc6E"",""token_amount"": 170902.98,""token_unit"": ""XLM""}"
nebula,149458.0,2023-09-06,stellar,stellar_community_fund,scf-18,"{""application_name"": ""Nebula and Quasar"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recYkjDsD5FKqcfy0"",""token_amount"": 1235664.59,""token_unit"": ""XLM""}"
chaincerts,103125.0,2023-11-20,stellar,stellar_community_fund,scf-18,"{""application_name"": ""Chaincerts"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/rec49lAtSKVy2QIJp"",""token_amount"": 851709.6,""token_unit"": ""XLM""}"
subquery,98640.0,2023-07-18,stellar,stellar_community_fund,scf-18,"{""application_name"": ""SubQuery Network"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recv7q71W4I8LcYAw"",""token_amount"": 151448.6,""token_unit"": ""XLM""}"
stellar-rust-sdk,32000.0,2023-08-31,stellar,stellar_community_fund,scf-18,"{""application_name"": ""Stellar Rust SDK"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recO97yX78hdHD9WX"",""token_amount"": 263795.2,""token_unit"": ""XLM""}"
wombat-exchange,150004.63,2023-11-27,stellar,stellar_community_fund,scf-18,"{""application_name"": ""Wombat Exchange"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/rec5a6qOoWCjaHweW"",""token_amount"": 1295896,""token_unit"": ""XLM""}"
